five_gene,three_gene
ACSL3,ETV1
ACTB,GLI1
ACTB,TFEB
ACTG2,ALK
AGAP3,BRAF
AGGF1,PDGFRB
AGK,BRAF
AGR2,ETV1
AHR,AHR
AHRR,NCOA2
AKAP9,BRAF
AL121790.1,ETV1
ALK,ALK
ASPSCR1,TFE3
ATF7IP,JAK2
ATF7IP,PDGFRB
ATIC,ALK
ATP1B1,NRG1
BAG4,FGFR1
BCAN,NTRK1
BCOR,CCNB3
BCOR,MAML3
BCOR,RARA
BCR,ABL1
BCR,FGFR1
BCR,JAK2
BCR,NTRK2
BCR,PDGFRA
BIRC3,MALT1
BRAF,BRAF
BRD3,NUTM1
BRD4,LEUTX
BRD4,NUTM1
CANT1,ETV4
CARS1,ALK
CBFA2T3,GLIS2
CBFB,MYH11
CBL,CBL
CCDC6,RET
CCDC6,ROS1
CCDC88C,PDGFRB
CD74,NRG1
CD74,NTRK1
CD74,ROS1
CDH11,USP6
CDK5RAP2,PDGFRA
CDKN2D,WDFY2
CEP43,FGFR1
CEP85L,PDGFRB
CEP85L,ROS1
CHCHD7,PLAG1
CHD7,BEND2
CIC,DUX4
CIC,FOXO4
CIC,LEUTX
CIC,NUTM1
CLCN6,BRAF
CLIP1,LTK
CLTC,ALK
CLTC,TFE3
CLTC,TFEB
CNTRL,FGFR1
COL1A1,PDGFB
COL1A1,USP6
COL1A2,PLAG1
COL3A1,PLAG1
CRTC1,MAML2
CRTC3,MAML2
CSF1,CDH1
CSF1,COL6A3
CSF1,FN1
CSF1,VCAM1
CTLA4,CD28
CTNNB1,CTNNB1
CTNNB1,PLAG1
CUL1,BRAF
CUX1,BRAF
CUX1,FGFR1
DCTN1,ALK
DEK,AFF2
DEK,NUP214
DNAJB1,PRKACA
DTD1,PDGFRB
EBF1,PDGFRB
EGFR,EGFR
EGFR,RAD51
EGFR,SEPTIN14
EIF3E,RSPO2
EIF5A,TERT
EML1,ABL1
EML4,ALK
EML4,NTRK3
EP300,ZNF384
EP400,PHF1
EPC1,PHF1
EPCAM,MSH2
ERC1,RET
ETV6,ABL1
ETV6,ABL2
ETV6,ACSL6
ETV6,FLT3
ETV6,JAK2
ETV6,LYN
ETV6,NTRK3
ETV6,PDGFRA
ETV6,PDGFRB
ETV6,RUNX1
EWSR1,ATF1
EWSR1,CREB1
EWSR1,CREB3L1
EWSR1,CREM
EWSR1,DDIT3
EWSR1,ERG
EWSR1,ETV1
EWSR1,ETV4
EWSR1,FEV
EWSR1,FLI1
EWSR1,KLF17
EWSR1,NFATC2
EWSR1,NR4A3
EWSR1,PATZ1
EWSR1,PBX1
EWSR1,PBX3
EWSR1,POU5F1
EWSR1,SP3
EWSR1,SSX1
EWSR1,TFCP2
EWSR1,TFEB
EWSR1,WT1
EWSR1,YY1
EWSR1,ZNF444
EZR,ROS1
FAM131B,BRAF
FGFR1,PLAG1
FGFR1,TACC1
FGFR1OP2,FGFR1
FGFR2,AHCYL1
FGFR2,BICC1
FGFR2,CCDC6
FGFR2,OGA
FGFR2,PPHLN1
FGFR2,TACC2
FGFR3,BAIAP2L1
FGFR3,JAKMIP1
FGFR3,TACC3
FIP1L1,PDGFRA
FLT3,FLT3
FN1,ALK
FN1,FGFR1
FOXP1,ABL1
FUS,ATF1
FUS,CREB3L1
FUS,CREB3L2
FUS,DDIT3
FUS,ERG
FUS,FEV
FUS,KLF17
FUS,TFCP2
GIT2,PDGFRB
GNAI1,BRAF
GOPC,ROS1
GTF2I,RARA
HAS2,PLAG1
HEY1,NCOA2
HIP1,ALK
HIP1,PDGFRB
HMGA2,ACKR3
HMGA2,EBF1
HMGA2,LHFPL6
HMGA2,LPP
HMGA2,NCOR2
HMGA2,NFIB
HMGA2,PLPP3
HMGA2,SETBP1
HMGA2,WIF1
HMGN2P46,MYC
HNRNPA2B1,ETV1
HOOK3,RET
IGH,BCL2
IGH,BCL3
IGH,BCL6
IGH,CCND1
IGH,CCND2
