symbol	ensembl_gene_id	hgnc_id	hgnc_ensembl_gene_id
ABCB11	ENSG00000073734	HGNC:42	ENSG00000073734
ABL1	ENSG00000097007	HGNC:76	ENSG00000097007
ABL2	ENSG00000143322	HGNC:77	ENSG00000143322
ABRAXAS1	ENSG00000163322	HGNC:25829	ENSG00000163322
ACD	ENSG00000102977	HGNC:25070	ENSG00000102977
ACTRT1	ENSG00000123165	HGNC:24027	ENSG00000123165
ADM	ENSG00000148926	HGNC:259	ENSG00000148926
AIP	ENSG00000110711	HGNC:358	ENSG00000110711
AKT1	ENSG00000142208	HGNC:391	ENSG00000142208
ALK	ENSG00000171094	HGNC:427	ENSG00000171094
AMER1	ENSG00000184675	HGNC:26837	ENSG00000184675
ANKRD26	ENSG00000107890	HGNC:29186	ENSG00000107890
APC	ENSG00000134982	HGNC:583	ENSG00000134982
APOBEC3B	ENSG00000179750	HGNC:17352	ENSG00000179750
AR	ENSG00000169083	HGNC:644	ENSG00000169083
ARHGEF12	ENSG00000196914	HGNC:14193	ENSG00000196914
ARID1A	ENSG00000117713	HGNC:11110	ENSG00000117713
ARID2	ENSG00000189079	HGNC:18037	ENSG00000189079
ARID5B	ENSG00000150347	HGNC:17362	ENSG00000150347
ARMC5	ENSG00000140691	HGNC:25781	ENSG00000140691
ASXL1	ENSG00000171456	HGNC:18318	ENSG00000171456
ATM	ENSG00000149311	HGNC:795	ENSG00000149311
ATR	ENSG00000175054	HGNC:882	ENSG00000175054
ATRX	ENSG00000085224	HGNC:886	ENSG00000085224
AXIN1	ENSG00000103126	HGNC:903	ENSG00000103126
AXIN2	ENSG00000168646	HGNC:904	ENSG00000168646
BAP1	ENSG00000163930	HGNC:950	ENSG00000163930
BARD1	ENSG00000138376	HGNC:952	ENSG00000138376
BCL10	ENSG00000142867	HGNC:989	ENSG00000142867
BCR	ENSG00000186716	HGNC:1014	ENSG00000186716
BLM	ENSG00000197299	HGNC:1058	ENSG00000197299
BMPR1A	ENSG00000107779	HGNC:1076	ENSG00000107779
BRAF	ENSG00000157764	HGNC:1097	ENSG00000157764
BRCA1	ENSG00000012048	HGNC:1100	ENSG00000012048
BRCA2	ENSG00000139618	HGNC:1101	ENSG00000139618
BRIP1	ENSG00000136492	HGNC:20473	ENSG00000136492
BTK	ENSG00000010671	HGNC:1133	ENSG00000010671
BUB1	ENSG00000169679	HGNC:1148	ENSG00000169679
BUB1B	ENSG00000156970	HGNC:1149	ENSG00000156970
BUB3	ENSG00000154473	HGNC:1151	ENSG00000154473
CAMTA1	ENSG00000171735	HGNC:18806	ENSG00000171735
CASP8	ENSG00000064012	HGNC:1509	ENSG00000064012
CASR	ENSG00000036828	HGNC:1514	ENSG00000036828
CBFA2T3	ENSG00000129993	HGNC:1537	ENSG00000129993
CBL	ENSG00000110395	HGNC:1541	ENSG00000110395
CDC73	ENSG00000134371	HGNC:16783	ENSG00000134371
CDH1	ENSG00000039068	HGNC:1748	ENSG00000039068
CDH10	ENSG00000040731	HGNC:1749	ENSG00000040731
CDH11	ENSG00000140937	HGNC:1750	ENSG00000140937
CDK4	ENSG00000135446	HGNC:1773	ENSG00000135446
CDKN1A	ENSG00000124762	HGNC:1784	ENSG00000124762
CDKN1B	ENSG00000111276	HGNC:1785	ENSG00000111276
CDKN1C	ENSG00000129757	HGNC:1786	ENSG00000129757
CDKN2A	ENSG00000147889	HGNC:1787	ENSG00000147889
CDKN2B	ENSG00000147883	HGNC:1788	ENSG00000147883
CDKN2C	ENSG00000123080	HGNC:1789	ENSG00000123080
CEBPA	ENSG00000245848	HGNC:1833	ENSG00000245848
CEBPE	ENSG00000092067	HGNC:1836	ENSG00000092067
CENPJ	ENSG00000151849	HGNC:17272	ENSG00000151849
CEP57	ENSG00000166037	HGNC:30794	ENSG00000166037
CHEK1	ENSG00000149554	HGNC:1925	ENSG00000149554
CHEK2	ENSG00000183765	HGNC:16627	ENSG00000183765
CIB1	ENSG00000185043	HGNC:16920	ENSG00000185043
COL7A1	ENSG00000114270	HGNC:2214	ENSG00000114270
CREBBP	ENSG00000005339	HGNC:2348	ENSG00000005339
CSF3R	ENSG00000119535	HGNC:2439	ENSG00000119535
CTC1	ENSG00000178971	HGNC:26169	ENSG00000178971
