ensembl_gene_symbol	ensembl_gene_id	ensembl_transcript_id	hgnc_symbol	hgnc_id	refseq_gene_symbol	ncbi_gene_id	data_source
ABCB11	ENSG00000073734.10	ENST00000650372.1	ABCB11	HGNC:42	ABCB11	8647	cpsr
ABL1	ENSG00000097007.19	ENST00000318560.6	ABL1	HGNC:76	ABL1	25	cpsr
ABL2	ENSG00000143322.21	ENST00000502732.6	ABL2	HGNC:77	ABL2	27	cpsr
ABRAXAS1	ENSG00000163322.14	ENST00000321945.12	ABRAXAS1	HGNC:25829	ABRAXAS1	84142	cpsr
ACD	ENSG00000102977.17	ENST00000620761.6	ACD	HGNC:25070	ACD	65057	cpsr
ACTRT1	ENSG00000123165.9	ENST00000371124.5	ACTRT1	HGNC:24027	ACTRT1	139741	cpsr
ADM	ENSG00000148926.10	ENST00000278175.10	ADM	HGNC:259	ADM	133	cpsr
AIP	ENSG00000110711.11	ENST00000279146.8	AIP	HGNC:358	AIP	9049	cpsr
AKT1	ENSG00000142208.18	ENST00000649815.2	AKT1	HGNC:391	AKT1	207	cpsr
ALK	ENSG00000171094.18	ENST00000389048.8	ALK	HGNC:427	ALK	238	cpsr
AMER1	ENSG00000184675.11	ENST00000374869.8	AMER1	HGNC:26837	AMER1	139285	cpsr
ANKRD26	ENSG00000107890.17	ENST00000376087.5	ANKRD26	HGNC:29186	ANKRD26	22852	cpsr
APC	ENSG00000134982.17	ENST00000257430.9	APC	HGNC:583	APC	324	cpsr
APOBEC3B	ENSG00000179750.16	ENST00000333467.4	APOBEC3B	HGNC:17352	APOBEC3B	9582	cpsr
AR	ENSG00000169083.18	ENST00000374690.9	AR	HGNC:644	AR	367	cpsr
ARHGEF12	ENSG00000196914.9	ENST00000397843.7	ARHGEF12	HGNC:14193	ARHGEF12	23365	cpsr
ARID1A	ENSG00000117713.21	ENST00000324856.13	ARID1A	HGNC:11110	ARID1A	8289	cpsr
ARID2	ENSG00000189079.17	ENST00000334344.11	ARID2	HGNC:18037	ARID2	196528	cpsr
ARID5B	ENSG00000150347.17	ENST00000279873.12	ARID5B	HGNC:17362	ARID5B	84159	cpsr
ARMC5	ENSG00000140691.18	ENST00000268314.9	ARMC5	HGNC:25781	ARMC5	79798	cpsr
ASXL1	ENSG00000171456.21	ENST00000375687.10	ASXL1	HGNC:18318	ASXL1	171023	cpsr
ATM	ENSG00000149311.20	ENST00000675843.1	ATM	HGNC:795	ATM	472	cpsr
ATR	ENSG00000175054.16	ENST00000350721.9	ATR	HGNC:882	ATR	545	cpsr
ATRX	ENSG00000085224.23	ENST00000373344.11	ATRX	HGNC:886	ATRX	546	cpsr
AXIN1	ENSG00000103126.15	ENST00000262320.8	AXIN1	HGNC:903	AXIN1	8312	cpsr
AXIN2	ENSG00000168646.14	ENST00000307078.10	AXIN2	HGNC:904	AXIN2	8313	cpsr
BAP1	ENSG00000163930.10	ENST00000460680.6	BAP1	HGNC:950	BAP1	8314	cpsr
BARD1	ENSG00000138376.11	ENST00000260947.9	BARD1	HGNC:952	BARD1	580	cpsr
BCL10	ENSG00000142867.14	ENST00000648566.1	BCL10	HGNC:989	BCL10	8915	cpsr
BCR	ENSG00000186716.21	ENST00000305877.13	BCR	HGNC:1014	BCR	613	cpsr
