ensembl_gene_symbol	ensembl_gene_id	ensembl_transcript_id	hgnc_symbol	hgnc_id	refseq_gene_symbol	ncbi_gene_id	oncogene	tsgene	data_source
A1CF	ENSG00000148584.15	ENST00000373997.8	A1CF	HGNC:24086	A1CF	29974	NA	NA	bushmanlab
AAMP	ENSG00000127837.10	ENST00000248450.9	AAMP	HGNC:18	AAMP	14	NA	NA	bushmanlab
AATF	ENSG00000275700.6	ENST00000619387.5	AATF	HGNC:19235	AATF	26574	NA	NA	bushmanlab
ABCA1	ENSG00000165029.17	ENST00000374736.8	ABCA1	HGNC:29	ABCA1	19	NA	NA	bushmanlab
ABCA3	ENSG00000167972.14	ENST00000301732.10	ABCA3	HGNC:33	ABCA3	21	NA	NA	bushmanlab
ABCB1	ENSG00000085563.15	ENST00000622132.5	ABCB1	HGNC:40	ABCB1	5243	NA	NA	bushmanlab
ABCB10	ENSG00000135776.5	ENST00000344517.5	ABCB10	HGNC:41	ABCB10	23456	NA	NA	bushmanlab
ABCB4	ENSG00000005471.19	ENST00000649586.2	ABCB4	HGNC:45	ABCB4	5244	NA	NA	bushmanlab
ABCB5	ENSG00000004846.17	ENST00000404938.7	ABCB5	HGNC:46	ABCB5	340273	NA	NA	bushmanlab
ABCB8	ENSG00000197150.13	ENST00000358849.9	ABCB8	HGNC:49	ABCB8	11194	NA	NA	bushmanlab
ABCC1	ENSG00000103222.20	ENST00000399410.8	ABCC1	HGNC:51	ABCC1	4363	NA	NA	bushmanlab
ABCC10	ENSG00000124574.15	ENST00000372530.9	ABCC10	HGNC:52	ABCC10	89845	NA	NA	bushmanlab
ABCC11	ENSG00000121270.16	ENST00000356608.7	ABCC11	HGNC:14639	ABCC11	85320	NA	NA	bushmanlab
ABHD2	ENSG00000140526.18	ENST00000352732.10	ABHD2	HGNC:18717	ABHD2	11057	NA	NA	bushmanlab
ABI1	ENSG00000136754.18	ENST00000376140.4	ABI1	HGNC:11320	ABI1	10006	NA	NA	bushmanlab
ABL1	ENSG00000097007.19	ENST00000318560.6	ABL1	HGNC:76	ABL1	25	NA	NA	bushmanlab
ABL2	ENSG00000143322.21	ENST00000502732.6	ABL2	HGNC:77	ABL2	27	NA	NA	bushmanlab
ABO	ENSG00000175164.16	ENST00000611156.4	ABO	HGNC:79	ABO	28	NA	NA	bushmanlab
ABR	ENSG00000159842.16	ENST00000302538.10	ABR	HGNC:81	ABR	29	NA	NA	bushmanlab
ABTB2	ENSG00000166016.6	ENST00000435224.3	ABTB2	HGNC:23842	ABTB2	25841	NA	NA	bushmanlab
ACADM	ENSG00000117054.15	ENST00000370841.9	ACADM	HGNC:89	ACADM	34	NA	NA	bushmanlab
ACAP1	ENSG00000072818.12	ENST00000158762.8	ACAP1	HGNC:16467	ACAP1	9744	NA	NA	bushmanlab
ACCS	ENSG00000110455.14	ENST00000263776.9	ACCS	HGNC:23989	ACCS	84680	NA	NA	bushmanlab
ACHE	ENSG00000087085.16	ENST00000241069.11	ACHE	HGNC:108	ACHE	43	NA	NA	bushmanlab
ACKR3	ENSG00000144476.6	ENST00000272928.4	ACKR3	HGNC:23692	ACKR3	57007	NA	NA	bushmanlab
ACLY	ENSG00000131473.17	ENST00000352035.7	ACLY	HGNC:115	ACLY	47	NA	NA	bushmanlab
ACSL3	ENSG00000123983.15	ENST00000357430.8	ACSL3	HGNC:3570	ACSL3	2181	NA	NA	bushmanlab
ACSL5	ENSG00000197142.11	ENST00000354655.9	ACSL5	HGNC:16526	ACSL5	51703	NA	NA	bushmanlab
ACSL6	ENSG00000164398.15	ENST00000651883.2	ACSL6	HGNC:16496	ACSL6	23305	NA	NA	bushmanlab
ACTB	ENSG00000075624.17	ENST00000646664.1	ACTB	HGNC:132	ACTB	60	NA	NA	bushmanlab
ACTL9	ENSG00000181786.5	ENST00000324436.5	ACTL9	HGNC:28494	ACTL9	284382	NA	NA	bushmanlab
ACTN4	ENSG00000130402.13	ENST00000252699.7	ACTN4	HGNC:166	ACTN4	81	NA	NA	bushmanlab
ACVR1	ENSG00000115170.16	ENST00000434821.7	ACVR1	HGNC:171	ACVR1	90	NA	NA	bushmanlab
ACVR1B	ENSG00000135503.13	ENST00000257963.9	ACVR1B	HGNC:172	ACVR1B	91	NA	NA	bushmanlab
ACVR2A	ENSG00000121989.15	ENST00000241416.12	ACVR2A	HGNC:173	ACVR2A	92	NA	NA	bushmanlab
ACVRL1	ENSG00000139567.13	ENST00000388922.9	ACVRL1	HGNC:175	ACVRL1	94	NA	NA	bushmanlab
ADAM10	ENSG00000137845.15	ENST00000260408.8	ADAM10	HGNC:188	ADAM10	102	NA	NA	bushmanlab
ADAM12	ENSG00000148848.15	ENST00000448723.2	ADAM12	HGNC:190	ADAM12	8038	NA	NA	bushmanlab
ADAM17	ENSG00000151694.14	ENST00000310823.8	ADAM17	HGNC:195	ADAM17	6868	NA	NA	bushmanlab
ADAM23	ENSG00000114948.13	ENST00000264377.8	ADAM23	HGNC:202	ADAM23	8745	NA	NA	bushmanlab
ADAM29	ENSG00000168594.15	ENST00000359240.7	ADAM29	HGNC:207	ADAM29	11086	NA	NA	bushmanlab
ADAM9	ENSG00000168615.13	ENST00000487273.7	ADAM9	HGNC:216	ADAM9	8754	NA	NA	bushmanlab
ADAMTS1	ENSG00000154734.16	ENST00000284984.8	ADAMTS1	HGNC:217	ADAMTS1	9510	NA	NA	bushmanlab
ADAMTS12	ENSG00000151388.11	ENST00000504830.6	ADAMTS12	HGNC:14605	ADAMTS12	81792	NA	NA	bushmanlab
ADAMTS15	ENSG00000166106.4	ENST00000299164.4	ADAMTS15	HGNC:16305	ADAMTS15	170689	NA	NA	bushmanlab
ADAMTS18	ENSG00000140873.16	ENST00000282849.10	ADAMTS18	HGNC:17110	ADAMTS18	170692	NA	NA	bushmanlab
ADAMTS9	ENSG00000163638.13	ENST00000498707.5	ADAMTS9	HGNC:13202	ADAMTS9	56999	NA	NA	bushmanlab
ADAMTSL3	ENSG00000156218.13	ENST00000286744.10	ADAMTSL3	HGNC:14633	ADAMTSL3	57188	NA	NA	bushmanlab
ADARB2	ENSG00000185736.16	ENST00000381312.6	ADARB2	HGNC:227	ADARB2	105	NA	NA	bushmanlab
ADCYAP1	ENSG00000141433.13	ENST00000450565.8	ADCYAP1	HGNC:241	ADCYAP1	116	NA	NA	bushmanlab
ADD3	ENSG00000148700.15	ENST00000356080.9	ADD3	HGNC:245	ADD3	120	NA	NA	bushmanlab
ADGRE5	ENSG00000123146.20	ENST00000242786.6	ADGRE5	HGNC:1711	ADGRE5	976	NA	NA	bushmanlab
ADGRL2	ENSG00000117114.21	ENST00000686636.1	ADGRL2	HGNC:18582	ADGRL2	23266	NA	NA	bushmanlab
ADIPOR1	ENSG00000159346.13	ENST00000340990.10	ADIPOR1	HGNC:24040	ADIPOR1	51094	NA	NA	bushmanlab
ADRB2	ENSG00000169252.6	ENST00000305988.6	ADRB2	HGNC:286	ADRB2	154	NA	NA	bushmanlab
AFAP1L2	ENSG00000169129.15	ENST00000304129.9	AFAP1L2	HGNC:25901	AFAP1L2	84632	NA	NA	bushmanlab
AFDN	ENSG00000130396.21	ENST00000683244.1	AFDN	HGNC:7137	AFDN	4301	NA	NA	bushmanlab
AFF1	ENSG00000172493.23	ENST00000395146.9	AFF1	HGNC:7135	AFF1	4299	NA	NA	bushmanlab
AFF3	ENSG00000144218.21	ENST00000672756.2	AFF3	HGNC:6473	AFF3	3899	NA	NA	bushmanlab
AFF4	ENSG00000072364.13	ENST00000265343.10	AFF4	HGNC:17869	AFF4	27125	NA	NA	bushmanlab
AFP	ENSG00000081051.8	ENST00000395792.7	AFP	HGNC:317	AFP	174	NA	NA	bushmanlab
