symbol	entrezgene	ensembl_gene_id	mechanism_of_inheritance	syndrome_cui	condition_cui	source	phenotypes	mechanism_of_disease	oncogene	tumor_suppressor	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate	confidence_level	id	panel_url	panel_version	panel_name	genename
ABCB11	8647	ENSG00000073734	AR	C2931132	NA	TCGA_PANCAN_2018	"Hepatocellular Carcinoma, Cholangiocarcinoma; Progressive familial intrahepatic cholestasis"	LoF	FALSE	FALSE	5	5	9	0.64	0.5	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ATP binding cassette subfamily B member 11
ABL1	25	ENSG00000097007	NA	NA	NA	OTHER		NA	TRUE	FALSE	0	2	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2	27	ENSG00000143322	NA	NA	NA	OTHER		NA	TRUE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ABRAXAS1	84142	ENSG00000163322	NA	NA	NA	NCGC		NA	FALSE	FALSE	0	0	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"abraxas 1, BRCA1 A complex subunit"
ACD	65057	ENSG00000102977	AD/AR	NA	NA	NCGC&PANEL_APP	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, R254, Haemonc;Haematological malignancies pertinent cancer susceptibility; R347, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ACD shelterin complex subunit and telomerase recruitment factor
ACTRT1	139741	ENSG00000123165	AD	NA	NA	PANEL_APP	R230	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	actin related protein T1
ADM	133	ENSG00000148926	NA	NA	NA	PANEL_APP	GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis)	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	adrenomedullin
AIP	9049	ENSG00000110711	AD	NA	NA	NCGC&PANEL_APP	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Multiple endocrine tumours;Multiple endocrine neoplasia type 1;Endocrine neoplasia, Parathyroid cancer"	LoF	FALSE	FALSE	1	1	9	0.9	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	aryl hydrocarbon receptor interacting protein
AKT1	207	ENSG00000142208	AD	NA	NA	NCGC&PANEL_APP	Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	GoF	TRUE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	AKT serine/threonine kinase 1
ALK	238	ENSG00000171094	AD	NA	C0027819	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; neuroblastoma; Neuroblastoma; NA"	GoF	TRUE	FALSE	0	0	23	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ALK receptor tyrosine kinase
AMER1	139285	ENSG00000184675	NA	NA	NA	OTHER		NA	FALSE	TRUE	2	0	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	APC membrane recruitment protein 1
ANKRD26	22852	ENSG00000107890	AD	NA	NA	PANEL_APP	Haemonc;Haematological malignancies pertinent cancer susceptibility; R347	NA	FALSE	FALSE	0	0	22	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	ankyrin repeat domain 26
