gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
ABCB1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ABL1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ACVR1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ACVR1B	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ACVR2A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ADAM30	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
AFDN	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
AGBL4	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
AJUBA	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
AKT1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ALB	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ALK	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
AMBRA1	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
AMER1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ANK1	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
ANKRD11	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
APC	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
AR	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ARAF	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ARHGAP35	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ARID1A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ARID1B	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ARID2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ARID5B	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
ASXL1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ASXL2	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
ATG7	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
ATM	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
ATP1A1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ATP2B3	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ATR	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
ATRX	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
AXIN1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
AXIN2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
AXL	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
B2M	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
BAP1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
BARD1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
BCL2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
BCL9L	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
BCOR	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
BIRC3	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
BMPR1A	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
BMPR2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
BRAF	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
BRCA1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
BRCA2	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
BRD7	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
