gene	likelihoodType	hgnc_id	oncogene	tsgene
ABCB1	TSG	HGNC:40	FALSE	TRUE
ABI1	NA	HGNC:11320	NA	NA
ABL1	ONCO	HGNC:76	TRUE	FALSE
ABL2	NA	HGNC:77	NA	NA
ACKR3	NA	HGNC:23692	NA	NA
ACSL3	NA	HGNC:3570	NA	NA
ACSL6	NA	HGNC:16496	NA	NA
ACTB	NA	HGNC:132	NA	NA
ACTG2	NA	HGNC:145	NA	NA
ACTN4	NA	HGNC:166	NA	NA
ACVR1	ONCO	HGNC:171	TRUE	FALSE
ACVR1B	TSG	HGNC:172	FALSE	TRUE
ACVR2A	TSG	HGNC:173	FALSE	TRUE
ADAM30	ONCO	HGNC:208	TRUE	FALSE
ADD3	NA	HGNC:245	NA	NA
AFDN	TSG	HGNC:7137	FALSE	TRUE
AFF1	NA	HGNC:7135	NA	NA
AFF2	NA	HGNC:3776	NA	NA
AFF3	NA	HGNC:6473	NA	NA
AFF4	NA	HGNC:17869	NA	NA
AGAP3	NA	HGNC:16923	NA	NA
AGBL4	TSG	HGNC:25892	FALSE	TRUE
AGGF1	NA	HGNC:24684	NA	NA
AGK	NA	HGNC:21869	NA	NA
AGR2	NA	HGNC:328	NA	NA
AHCYL1	NA	HGNC:344	NA	NA
AHR	NA	HGNC:348	NA	NA
AHRR	NA	HGNC:346	NA	NA
AJUBA	TSG	HGNC:20250	FALSE	TRUE
AKAP9	NA	HGNC:379	NA	NA
AKT1	ONCO	HGNC:391	TRUE	FALSE
ALB	ONCO	HGNC:399	TRUE	FALSE
ALK	ONCO	HGNC:427	TRUE	FALSE
AMBRA1	TSG	HGNC:25990	FALSE	TRUE
AMER1	TSG	HGNC:26837	FALSE	TRUE
ANK1	ONCO	HGNC:492	TRUE	FALSE
ANKRD11	TSG	HGNC:21316	FALSE	TRUE
APC	TSG	HGNC:583	FALSE	TRUE
AR	ONCO	HGNC:644	TRUE	FALSE
ARAF	ONCO	HGNC:646	TRUE	FALSE
ARHGAP26	NA	HGNC:17073	NA	NA
ARHGAP35	TSG	HGNC:4591	FALSE	TRUE
ARID1A	TSG	HGNC:11110	FALSE	TRUE
ARID1B	TSG	HGNC:18040	FALSE	TRUE
ARID2	TSG	HGNC:18037	FALSE	TRUE
ARID5B	ONCO	HGNC:17362	TRUE	FALSE
ASNS	NA	HGNC:753	NA	NA
ASPSCR1	NA	HGNC:13825	NA	NA
ASXL1	TSG	HGNC:18318	FALSE	TRUE
ASXL2	TSG	HGNC:23805	FALSE	TRUE
ATF1	NA	HGNC:783	NA	NA
ATF7IP	NA	HGNC:20092	NA	NA
ATG7	TSG	HGNC:16935	FALSE	TRUE
ATIC	NA	HGNC:794	NA	NA
ATM	TSG	HGNC:795	FALSE	TRUE
ATP1A1	TSG	HGNC:799	FALSE	TRUE
ATP1B1	NA	HGNC:804	NA	NA
ATP2B3	TSG	HGNC:816	FALSE	TRUE
ATR	TSG	HGNC:882	FALSE	TRUE
ATRX	TSG	HGNC:886	FALSE	TRUE
AUTS2	NA	HGNC:14262	NA	NA
AXIN1	TSG	HGNC:903	FALSE	TRUE
AXIN2	TSG	HGNC:904	FALSE	TRUE
AXL	ONCO	HGNC:905	TRUE	FALSE
B2M	TSG	HGNC:914	FALSE	TRUE
BAG4	NA	HGNC:940	NA	NA
BAIAP2L1	NA	HGNC:21649	NA	NA
BAP1	TSG	HGNC:950	FALSE	TRUE
BARD1	TSG	HGNC:952	FALSE	TRUE
BCAN	NA	HGNC:23059	NA	NA
BCL11B	NA	HGNC:13222	NA	NA
BCL2	ONCO	HGNC:990	TRUE	FALSE
BCL3	NA	HGNC:998	NA	NA
BCL6	NA	HGNC:1001	NA	NA
BCL9	NA	HGNC:1008	NA	NA
BCL9L	TSG	HGNC:23688	FALSE	TRUE
