symbol	hgnc_id
ABCC4	HGNC:55
ABL1	HGNC:76
ABL2	HGNC:77
ACKR3	HGNC:23692
ACSL3	HGNC:3570
ACSL6	HGNC:16496
ACSM3	HGNC:10522
ACVR1	HGNC:171
ACVR1B	HGNC:172
ACVR2A	HGNC:173
AFDN	HGNC:7137
AFF1	HGNC:7135
AJUBA	HGNC:20250
AKAP9	HGNC:379
AKT1	HGNC:391
AKT3	HGNC:393
ALDH2	HGNC:404
ALK	HGNC:427
ALPK1	HGNC:20917
AMER1	HGNC:26837
ANK1	HGNC:492
ANKRD11	HGNC:21316
APC	HGNC:583
AR	HGNC:644
ARAF	HGNC:646
ARHGAP35	HGNC:4591
ARHGAP5	HGNC:675
ARHGEF10	HGNC:14103
ARHGEF10L	HGNC:25540
ARHGEF12	HGNC:14193
ARID1A	HGNC:11110
ARID1B	HGNC:18040
ARID2	HGNC:18037
ARNT	HGNC:700
ASXL1	HGNC:18318
ASXL2	HGNC:23805
ATF7IP	HGNC:20092
ATG7	HGNC:16935
ATM	HGNC:795
ATP1A1	HGNC:799
ATR	HGNC:882
ATRX	HGNC:886
AXIN1	HGNC:903
AXIN2	HGNC:904
B2M	HGNC:914
BAP1	HGNC:950
BARD1	HGNC:952
BAZ1A	HGNC:960
BCL10	HGNC:989
BCL11A	HGNC:13221
BCL11B	HGNC:13222
BCL2	HGNC:990
BCL2L12	HGNC:13787
BCL6	HGNC:1001
BCL7A	HGNC:1004
BCL9	HGNC:1008
BCL9L	HGNC:23688
BCLAF1	HGNC:16863
BCOR	HGNC:20893
BCORL1	HGNC:25657
BCR	HGNC:1014
BIRC3	HGNC:591
BIRC6	HGNC:13516
BLM	HGNC:1058
BMP6	HGNC:1073
BMPR1A	HGNC:1076
BRAF	HGNC:1097
BRCA1	HGNC:1100
BRCA2	HGNC:1101
BRD4	HGNC:13575
BRD7	HGNC:14310
BTG1	HGNC:1130
BTG2	HGNC:1131
BTK	HGNC:1133
CACNA1D	HGNC:1391
CADM2	HGNC:29849
CAMTA1	HGNC:18806
CANT1	HGNC:19721
CARD11	HGNC:16393
CASP8	HGNC:1509
CASZ1	HGNC:26002
CBFB	HGNC:1539
CBL	HGNC:1541
CBLB	HGNC:1542
CCDC6	HGNC:18782
CCND1	HGNC:1582
CCND2	HGNC:1583
CCND3	HGNC:1585
CCNE1	HGNC:1589
CCR7	HGNC:1608
CD209	HGNC:1641
CD274	HGNC:17635
CD58	HGNC:1688
CD79B	HGNC:1699
CDC73	HGNC:16783
CDH1	HGNC:1748
CDH10	HGNC:1749
CDH11	HGNC:1750
CDK12	HGNC:24224
