symbol	oncogene	tsgene	hgnc_id
ABL1	TRUE	FALSE	HGNC:76
ABL2	TRUE	FALSE	HGNC:77
ABRAXAS1	FALSE	TRUE	HGNC:25829
ACKR3	TRUE	TRUE	HGNC:23692
ACTG1	FALSE	TRUE	HGNC:144
ACVR1	TRUE	FALSE	HGNC:171
ACVR1B	FALSE	TRUE	HGNC:172
ADHFE1	TRUE	FALSE	HGNC:16354
AFF4	TRUE	FALSE	HGNC:17869
AGO1	TRUE	FALSE	HGNC:3262
AGO2	FALSE	FALSE	HGNC:3263
AJUBA	FALSE	TRUE	HGNC:20250
AKT1	TRUE	FALSE	HGNC:391
AKT2	TRUE	FALSE	HGNC:392
AKT3	TRUE	FALSE	HGNC:393
ALB	FALSE	FALSE	HGNC:399
ALDH1L2	TRUE	FALSE	HGNC:26777
ALDH2	FALSE	TRUE	HGNC:404
ALK	TRUE	FALSE	HGNC:427
ALOX12B	TRUE	TRUE	HGNC:430
AMER1	FALSE	TRUE	HGNC:26837
ANKRD11	FALSE	TRUE	HGNC:21316
APC	FALSE	TRUE	HGNC:583
APLNR	TRUE	TRUE	HGNC:339
AR	TRUE	FALSE	HGNC:644
ARAF	TRUE	FALSE	HGNC:646
ARHGAP35	TRUE	TRUE	HGNC:4591
ARHGEF12	TRUE	TRUE	HGNC:14193
ARHGEF28	TRUE	FALSE	HGNC:30322
ARID1A	FALSE	TRUE	HGNC:11110
ARID1B	FALSE	TRUE	HGNC:18040
ARID2	FALSE	TRUE	HGNC:18037
ARID3A	FALSE	TRUE	HGNC:3031
ARID3B	TRUE	FALSE	HGNC:14350
ARID3C	FALSE	FALSE	HGNC:21209
ARID4A	FALSE	TRUE	HGNC:9885
ARID4B	FALSE	TRUE	HGNC:15550
ARID5A	FALSE	FALSE	HGNC:17361
ARID5B	FALSE	TRUE	HGNC:17362
ASXL1	FALSE	TRUE	HGNC:18318
ASXL2	FALSE	TRUE	HGNC:23805
ATF1	TRUE	FALSE	HGNC:783
ATM	FALSE	TRUE	HGNC:795
ATP1A1	TRUE	TRUE	HGNC:799
ATP6AP1	FALSE	FALSE	HGNC:868
ATP6V1B2	FALSE	TRUE	HGNC:854
ATR	FALSE	TRUE	HGNC:882
ATRIP	FALSE	TRUE	HGNC:33499
ATRX	FALSE	TRUE	HGNC:886
ATXN2	FALSE	TRUE	HGNC:10555
ATXN7	TRUE	FALSE	HGNC:10560
AURKA	TRUE	FALSE	HGNC:11393
AURKB	TRUE	FALSE	HGNC:11390
AXIN1	FALSE	TRUE	HGNC:903
AXIN2	FALSE	TRUE	HGNC:904
AXL	TRUE	FALSE	HGNC:905
B2M	FALSE	TRUE	HGNC:914
BAALC	TRUE	FALSE	HGNC:14333
BABAM1	FALSE	FALSE	HGNC:25008
BACH2	FALSE	TRUE	HGNC:14078
BAP1	FALSE	TRUE	HGNC:950
BARD1	FALSE	TRUE	HGNC:952
BBC3	FALSE	TRUE	HGNC:17868
BCL10	FALSE	TRUE	HGNC:989
BCL11B	FALSE	TRUE	HGNC:13222
BCL2	TRUE	FALSE	HGNC:990
BCL2L1	FALSE	FALSE	HGNC:992
BCL2L11	FALSE	TRUE	HGNC:994
BCL3	TRUE	FALSE	HGNC:998
BCL6	TRUE	FALSE	HGNC:1001
BCL7A	FALSE	TRUE	HGNC:1004
BCL9	TRUE	FALSE	HGNC:1008
BCOR	FALSE	TRUE	HGNC:20893
BCORL1	FALSE	TRUE	HGNC:25657
BCR	TRUE	FALSE	HGNC:1014
BIRC3	FALSE	FALSE	HGNC:591
BLM	FALSE	TRUE	HGNC:1058
BMPR1A	FALSE	TRUE	HGNC:1076
BRAF	TRUE	FALSE	HGNC:1097
BRCA1	FALSE	TRUE	HGNC:1100
BRCA2	FALSE	TRUE	HGNC:1101
BRD3	TRUE	FALSE	HGNC:1104
BRD4	TRUE	FALSE	HGNC:13575
BRIP1	FALSE	TRUE	HGNC:20473
BRSK1	FALSE	TRUE	HGNC:18994
BTG1	FALSE	TRUE	HGNC:1130
BTG2	FALSE	TRUE	HGNC:1131
BTK	TRUE	FALSE	HGNC:1133
CACNA1D	TRUE	FALSE	HGNC:1391
CAD	TRUE	FALSE	HGNC:1424
CALR	TRUE	FALSE	HGNC:1455
CANT1	TRUE	FALSE	HGNC:19721
CARD11	TRUE	FALSE	HGNC:16393
CARM1	FALSE	FALSE	HGNC:23393
CASP8	FALSE	TRUE	HGNC:1509
CBFA2T3	FALSE	TRUE	HGNC:1537
CBFB	FALSE	TRUE	HGNC:1539
CBL	FALSE	TRUE	HGNC:1541
CCNB3	TRUE	FALSE	HGNC:18709
CCND1	TRUE	FALSE	HGNC:1582
CCND2	TRUE	FALSE	HGNC:1583
CCND3	TRUE	FALSE	HGNC:1585
CCNE1	TRUE	FALSE	HGNC:1589
CCNQ	FALSE	TRUE	HGNC:28434
CD19	TRUE	FALSE	HGNC:1633
CD22	FALSE	FALSE	HGNC:1643
CD274	TRUE	FALSE	HGNC:17635
CD276	TRUE	FALSE	HGNC:19137
CD28	TRUE	FALSE	HGNC:1653
CD58	FALSE	TRUE	HGNC:1688
CD74	TRUE	FALSE	HGNC:1697
CD79A	TRUE	FALSE	HGNC:1698
CD79B	TRUE	FALSE	HGNC:1699
CDC42	TRUE	FALSE	HGNC:1736
CDC73	FALSE	TRUE	HGNC:16783
CDH1	FALSE	TRUE	HGNC:1748
CDH11	TRUE	FALSE	HGNC:1750
CDH2	TRUE	FALSE	HGNC:1759
CDH4	TRUE	FALSE	HGNC:1763
CDK12	FALSE	TRUE	HGNC:24224
CDK4	TRUE	FALSE	HGNC:1773
CDK6	TRUE	FALSE	HGNC:1777
CDK8	TRUE	FALSE	HGNC:1779
CDKN1A	FALSE	TRUE	HGNC:1784
CDKN1B	FALSE	TRUE	HGNC:1785
CDKN2A	FALSE	TRUE	HGNC:1787
CDKN2B	FALSE	TRUE	HGNC:1788
CDKN2C	FALSE	TRUE	HGNC:1789
CEBPA	FALSE	TRUE	HGNC:1833
CENPA	FALSE	FALSE	HGNC:1851
CHD2	FALSE	TRUE	HGNC:1917
CHD4	TRUE	FALSE	HGNC:1919
CHEK1	FALSE	TRUE	HGNC:1925
CHEK2	FALSE	TRUE	HGNC:16627
CHTF8	FALSE	TRUE	HGNC:24353
CIC	FALSE	TRUE	HGNC:14214
CIITA	FALSE	TRUE	HGNC:7067
CLTCL1	FALSE	FALSE	HGNC:2093
CMTR2	FALSE	TRUE	HGNC:25635
CNTRL	FALSE	FALSE	HGNC:1858
COL1A1	TRUE	FALSE	HGNC:2197
COL2A1	FALSE	TRUE	HGNC:2200
COP1	TRUE	FALSE	HGNC:17440
CRBN	FALSE	TRUE	HGNC:30185
CREB1	TRUE	FALSE	HGNC:2345
CREBBP	FALSE	TRUE	HGNC:2348
CRKL	TRUE	FALSE	HGNC:2363
CRLF2	TRUE	FALSE	HGNC:14281
CSDE1	FALSE	FALSE	HGNC:29905
CSF1R	FALSE	FALSE	HGNC:2433
CSF3R	TRUE	FALSE	HGNC:2439
CTCF	FALSE	TRUE	HGNC:13723
CTLA4	TRUE	FALSE	HGNC:2505
CTNNA1	FALSE	TRUE	HGNC:2509
CTNNB1	TRUE	FALSE	HGNC:2514
CTR9	FALSE	TRUE	HGNC:16850
CUL3	FALSE	TRUE	HGNC:2553
CUL4A	TRUE	FALSE	HGNC:2554
CUX1	FALSE	TRUE	HGNC:2557
CXCR4	TRUE	FALSE	HGNC:2561
CYLD	FALSE	TRUE	HGNC:2584
CYP19A1	TRUE	FALSE	HGNC:2594
CYSLTR2	TRUE	FALSE	HGNC:18274
DAXX	FALSE	TRUE	HGNC:2681
DAZAP1	FALSE	FALSE	HGNC:2683
DCUN1D1	TRUE	FALSE	HGNC:18184
DDIT3	FALSE	FALSE	HGNC:2726
DDR2	TRUE	FALSE	HGNC:2731
DDX3X	FALSE	TRUE	HGNC:2745
DDX4	TRUE	FALSE	HGNC:18700
DDX41	FALSE	TRUE	HGNC:18674
DDX5	TRUE	FALSE	HGNC:2746
DEK	TRUE	FALSE	HGNC:2768
DICER1	FALSE	TRUE	HGNC:17098
DIS3	FALSE	TRUE	HGNC:20604
DKK1	FALSE	FALSE	HGNC:2891
DKK2	FALSE	FALSE	HGNC:2892
DKK3	FALSE	FALSE	HGNC:2893
DKK4	FALSE	FALSE	HGNC:2894
DNAJB1	FALSE	FALSE	HGNC:5270
DNM2	TRUE	FALSE	HGNC:2974
DNMT1	TRUE	FALSE	HGNC:2976
DNMT3A	FALSE	TRUE	HGNC:2978
DNMT3B	FALSE	TRUE	HGNC:2979
DOT1L	TRUE	FALSE	HGNC:24948
DPYD	FALSE	FALSE	HGNC:3012
DROSHA	FALSE	FALSE	HGNC:17904
DTX1	FALSE	TRUE	HGNC:3060
DUSP22	FALSE	TRUE	HGNC:16077
DUSP4	FALSE	TRUE	HGNC:3070
E2F3	TRUE	FALSE	HGNC:3115
EBF1	FALSE	FALSE	HGNC:3126
ECSIT	TRUE	FALSE	HGNC:29548
ECT2L	FALSE	TRUE	HGNC:21118
EED	FALSE	TRUE	HGNC:3188
EGFL7	TRUE	FALSE	HGNC:20594
EGFR	TRUE	FALSE	HGNC:3236
EGR1	FALSE	TRUE	HGNC:3238
EIF1AX	FALSE	FALSE	HGNC:3250
EIF2B1	FALSE	TRUE	HGNC:3257
EIF3E	FALSE	FALSE	HGNC:3277
EIF4A2	TRUE	FALSE	HGNC:3284
EIF4E	TRUE	FALSE	HGNC:3287
ELF3	TRUE	TRUE	HGNC:3318
ELF4	TRUE	FALSE	HGNC:3319
ELK4	TRUE	FALSE	HGNC:3326
ELL	TRUE	FALSE	HGNC:23114
ELN	TRUE	FALSE	HGNC:3327
ELOC	FALSE	FALSE	HGNC:11617
EMSY	TRUE	FALSE	HGNC:18071
EP300	FALSE	TRUE	HGNC:3373
EP400	FALSE	TRUE	HGNC:11958
EPAS1	FALSE	FALSE	HGNC:3374
EPCAM	FALSE	TRUE	HGNC:11529
EPHA3	FALSE	TRUE	HGNC:3387
EPHA5	FALSE	FALSE	HGNC:3389
EPHA7	TRUE	TRUE	HGNC:3390
EPHB1	TRUE	TRUE	HGNC:3392
EPHB4	TRUE	FALSE	HGNC:3395
EPOR	TRUE	FALSE	HGNC:3416
ERBB2	TRUE	FALSE	HGNC:3430
ERBB3	TRUE	FALSE	HGNC:3431
ERBB4	TRUE	FALSE	HGNC:3432
ERC1	TRUE	FALSE	HGNC:17072
ERCC2	FALSE	TRUE	HGNC:3434
ERCC3	FALSE	TRUE	HGNC:3435
ERCC4	FALSE	TRUE	HGNC:3436
ERCC5	FALSE	TRUE	HGNC:3437
ERF	FALSE	TRUE	HGNC:3444
ERG	TRUE	FALSE	HGNC:3446
ERRFI1	FALSE	TRUE	HGNC:18185
ESCO2	FALSE	TRUE	HGNC:27230
ESR1	TRUE	FALSE	HGNC:3467
ETAA1	FALSE	TRUE	HGNC:24648
ETNK1	FALSE	FALSE	HGNC:24649
ETS1	TRUE	TRUE	HGNC:3488
ETV1	TRUE	FALSE	HGNC:3490
ETV4	TRUE	FALSE	HGNC:3493
ETV5	TRUE	FALSE	HGNC:3494
ETV6	FALSE	TRUE	HGNC:3495
EWSR1	TRUE	FALSE	HGNC:3508
EXT1	FALSE	TRUE	HGNC:3512
EZH1	TRUE	FALSE	HGNC:3526
EZH2	TRUE	TRUE	HGNC:3527
EZHIP	TRUE	FALSE	HGNC:33738
FANCA	FALSE	TRUE	HGNC:3582
FANCC	FALSE	TRUE	HGNC:3584
FANCD2	FALSE	TRUE	HGNC:3585
FANCE	FALSE	TRUE	HGNC:3586
FANCF	FALSE	TRUE	HGNC:3587
FANCG	FALSE	TRUE	HGNC:3588
FANCL	FALSE	TRUE	HGNC:20748
FANCM	FALSE	TRUE	HGNC:23168
FAS	FALSE	TRUE	HGNC:11920
FAT1	FALSE	TRUE	HGNC:3595
FBXO11	FALSE	TRUE	HGNC:13590
FBXW2	FALSE	FALSE	HGNC:13608
FBXW7	FALSE	TRUE	HGNC:16712
FES	TRUE	FALSE	HGNC:3657
FEV	FALSE	FALSE	HGNC:18562
FGF10	TRUE	FALSE	HGNC:3666
FGF14	FALSE	TRUE	HGNC:3671
FGF19	TRUE	FALSE	HGNC:3675
FGF23	TRUE	FALSE	HGNC:3680
FGF3	TRUE	FALSE	HGNC:3681
FGF4	TRUE	FALSE	HGNC:3682
FGF6	TRUE	FALSE	HGNC:3684
FGFR1	TRUE	FALSE	HGNC:3688
FGFR2	TRUE	FALSE	HGNC:3689
FGFR3	TRUE	FALSE	HGNC:3690
FGFR4	TRUE	FALSE	HGNC:3691
FH	FALSE	TRUE	HGNC:3700
FHIT	FALSE	TRUE	HGNC:3701
FLCN	FALSE	TRUE	HGNC:27310
FLI1	TRUE	FALSE	HGNC:3749
FLT1	TRUE	FALSE	HGNC:3763
FLT3	TRUE	FALSE	HGNC:3765
FLT4	TRUE	FALSE	HGNC:3767
FOLH1	TRUE	FALSE	HGNC:3788
FOXA1	TRUE	TRUE	HGNC:5021
FOXF1	TRUE	TRUE	HGNC:3809
FOXL2	TRUE	TRUE	HGNC:1092
FOXN4	TRUE	FALSE	HGNC:21399
FOXO1	FALSE	TRUE	HGNC:3819
FOXO3	FALSE	FALSE	HGNC:3821
FOXP1	TRUE	TRUE	HGNC:3823
FRS2	TRUE	FALSE	HGNC:16971
FSTL1	TRUE	FALSE	HGNC:3972
FUBP1	FALSE	TRUE	HGNC:4004
FURIN	TRUE	FALSE	HGNC:8568
FUS	TRUE	FALSE	HGNC:4010
FYN	TRUE	FALSE	HGNC:4037
FZR1	TRUE	TRUE	HGNC:24824
GAB1	TRUE	FALSE	HGNC:4066
GAB2	TRUE	FALSE	HGNC:14458
GABRA6	TRUE	FALSE	HGNC:4080
GATA1	FALSE	FALSE	HGNC:4170
GATA2	TRUE	FALSE	HGNC:4171
GATA3	TRUE	TRUE	HGNC:4172
GATA4	FALSE	TRUE	HGNC:4173
GATA6	TRUE	FALSE	HGNC:4174
GLI1	TRUE	FALSE	HGNC:4317
GNA11	TRUE	FALSE	HGNC:4379
GNA12	TRUE	FALSE	HGNC:4380
GNA13	TRUE	TRUE	HGNC:4381
GNAQ	TRUE	FALSE	HGNC:4390
GNAS	TRUE	FALSE	HGNC:4392
GNB1	TRUE	FALSE	HGNC:4396
GPS2	FALSE	TRUE	HGNC:4550
GREM1	TRUE	FALSE	HGNC:2001
GRIN2A	FALSE	TRUE	HGNC:4585
GRM3	FALSE	FALSE	HGNC:4595
GSK3B	TRUE	FALSE	HGNC:4617
GTF2I	TRUE	FALSE	HGNC:4659
H1-2	FALSE	FALSE	HGNC:4716
H1-3	FALSE	TRUE	HGNC:4717
H1-4	TRUE	FALSE	HGNC:4718
H1-5	FALSE	TRUE	HGNC:4719
H2AC11	FALSE	FALSE	HGNC:4737
H2AC16	FALSE	FALSE	HGNC:4730
H2AC17	TRUE	FALSE	HGNC:4735
H2AC6	FALSE	FALSE	HGNC:4733
H2BC11	FALSE	FALSE	HGNC:4761
H2BC12	FALSE	FALSE	HGNC:13954
H2BC17	FALSE	FALSE	HGNC:4758
H2BC4	FALSE	FALSE	HGNC:4757
H2BC5	FALSE	FALSE	HGNC:4747
H2BC8	FALSE	FALSE	HGNC:4746
H3-3A	TRUE	FALSE	HGNC:4764
H3-3B	FALSE	FALSE	HGNC:4765
H3-4	FALSE	FALSE	HGNC:4778
H3-5	FALSE	FALSE	HGNC:33164
H3C1	FALSE	FALSE	HGNC:4766
H3C10	FALSE	FALSE	HGNC:4775
H3C11	FALSE	FALSE	HGNC:4771
H3C12	FALSE	FALSE	HGNC:4774
H3C13	FALSE	FALSE	HGNC:25311
H3C14	FALSE	FALSE	HGNC:20503
H3C15	FALSE	FALSE	HGNC:20505
H3C2	FALSE	FALSE	HGNC:4776
H3C3	FALSE	FALSE	HGNC:4768
H3C4	FALSE	FALSE	HGNC:4767
H3C6	FALSE	FALSE	HGNC:4769
H3C7	FALSE	FALSE	HGNC:4773
H3C8	FALSE	FALSE	HGNC:4772
H3P6	FALSE	FALSE	HGNC:42980
H4C6	FALSE	FALSE	HGNC:4783
HDAC1	TRUE	FALSE	HGNC:4852
HDAC2	TRUE	FALSE	HGNC:4853
HDAC4	TRUE	TRUE	HGNC:14063
HDAC7	TRUE	FALSE	HGNC:14067
HGF	TRUE	FALSE	HGNC:4893
HIF1A	TRUE	FALSE	HGNC:4910
