ensembl_gene_id	symbol	hgnc_id
ENSG00000148584	A1CF	HGNC:24086
ENSG00000136754	ABI1	HGNC:11320
ENSG00000097007	ABL1	HGNC:76
ENSG00000143322	ABL2	HGNC:77
ENSG00000144476	ACKR3	HGNC:23692
ENSG00000123983	ACSL3	HGNC:3570
ENSG00000164398	ACSL6	HGNC:16496
ENSG00000115170	ACVR1	HGNC:171
ENSG00000121989	ACVR2A	HGNC:173
ENSG00000172493	AFF1	HGNC:7135
ENSG00000144218	AFF3	HGNC:6473
ENSG00000072364	AFF4	HGNC:17869
ENSG00000127914	AKAP9	HGNC:379
ENSG00000142208	AKT1	HGNC:391
ENSG00000105221	AKT2	HGNC:392
ENSG00000117020	AKT3	HGNC:393
ENSG00000111275	ALDH2	HGNC:404
ENSG00000171094	ALK	HGNC:427
ENSG00000184675	AMER1	HGNC:26837
ENSG00000029534	ANK1	HGNC:492
ENSG00000134982	APC	HGNC:583
ENSG00000179750	APOBEC3B	HGNC:17352
ENSG00000169083	AR	HGNC:644
ENSG00000078061	ARAF	HGNC:646
ENSG00000145819	ARHGAP26	HGNC:17073
ENSG00000100852	ARHGAP5	HGNC:675
ENSG00000104728	ARHGEF10	HGNC:14103
ENSG00000074964	ARHGEF10L	HGNC:25540
ENSG00000196914	ARHGEF12	HGNC:14193
ENSG00000117713	ARID1A	HGNC:11110
ENSG00000049618	ARID1B	HGNC:18040
ENSG00000189079	ARID2	HGNC:18037
ENSG00000143437	ARNT	HGNC:700
ENSG00000169696	ASPSCR1	HGNC:13825
ENSG00000171456	ASXL1	HGNC:18318
ENSG00000143970	ASXL2	HGNC:23805
ENSG00000123268	ATF1	HGNC:783
ENSG00000138363	ATIC	HGNC:794
ENSG00000149311	ATM	HGNC:795
ENSG00000163399	ATP1A1	HGNC:799
ENSG00000067842	ATP2B3	HGNC:816
ENSG00000175054	ATR	HGNC:882
ENSG00000085224	ATRX	HGNC:886
ENSG00000103126	AXIN1	HGNC:903
ENSG00000168646	AXIN2	HGNC:904
ENSG00000166710	B2M	HGNC:914
ENSG00000163930	BAP1	HGNC:950
ENSG00000138376	BARD1	HGNC:952
ENSG00000087088	BAX	HGNC:959
ENSG00000198604	BAZ1A	HGNC:960
ENSG00000142867	BCL10	HGNC:989
ENSG00000119866	BCL11A	HGNC:13221
ENSG00000127152	BCL11B	HGNC:13222
ENSG00000171791	BCL2	HGNC:990
ENSG00000126453	BCL2L12	HGNC:13787
ENSG00000069399	BCL3	HGNC:998
ENSG00000113916	BCL6	HGNC:1001
ENSG00000110987	BCL7A	HGNC:1004
ENSG00000116128	BCL9	HGNC:1008
ENSG00000186174	BCL9L	HGNC:23688
ENSG00000029363	BCLAF1	HGNC:16863
ENSG00000183337	BCOR	HGNC:20893
ENSG00000085185	BCORL1	HGNC:25657
ENSG00000186716	BCR	HGNC:1014
ENSG00000023445	BIRC3	HGNC:591
ENSG00000115760	BIRC6	HGNC:13516
ENSG00000197299	BLM	HGNC:1058
ENSG00000112175	BMP5	HGNC:1072
ENSG00000107779	BMPR1A	HGNC:1076
ENSG00000157764	BRAF	HGNC:1097
