Cancer	Gene_symbol	Ensembl_ID	Gene_biotype	ENTREZID	Onco_gene_OncoVar	P_value	FDR	OncoVar_Score	CGC	OncoKB	OncoVar	MutPanning	2020Rule	CTAT	HCD	Intogen	Oncogene	TSgene	CGCPointMut	FASMIC	MouseMut	PMID_29056346	PMID_29056346_collected_known	TCGA_papers	DriverDBv3	Therapeutic_target_in_PMID_30971826	Consensus_Score	Driver Level
PanCancer	ABL2	ENSG00000143322	protein_coding	27	Y	0.111172953602168	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	22	4
PanCancer	AKT3	ENSG00000117020	protein_coding	10000	Y	0.246116877269574	0.596573590279973	0.447711526065277	2	Oncogene	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	21	4
PanCancer	ARID1A	ENSG00000117713	protein_coding	8289	Y	0	0	1	1	TSG	Y	Y	TSG	TSG	Y	Y	N	Y	Y	N	Y	Y	Y	Y	Y	N	50	4
PanCancer	ARID4B	ENSG00000054267	protein_coding	51742	Y	0.00111568835207596	0.0463056019296566	0.570287207880086	N	TSG	Y	N	N	N	N	Y	N	N	N	N	Y	N	N	N	Y	N	22	4
PanCancer	ARNT	ENSG00000143437	protein_coding	405	Y	0.000977985467838618	0.0410914881754415	0.575943540915144	1	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	30	4
PanCancer	ATP1A1	ENSG00000163399	protein_coding	476	Y	0.0634434740467071	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	Y	Y	22	4
PanCancer	BCL10	ENSG00000142867	protein_coding	8915	Y	0.00442882362257874	0.142419808461508	0.516541614614233	1	TSG	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	BCL9	ENSG00000266095	protein_coding	607	Y	0.0359498147346564	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	BTG2	ENSG00000159388	protein_coding	7832	Y	0.00283805190609414	0.101139650824507	0.532992695322802	N	Y	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	CAMTA1	ENSG00000171735	protein_coding	23261	Y	0.349901180095274	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	CD58	ENSG00000116815	protein_coding	965	Y	0	0	1	N	TSG	Y	N	N	N	N	N	N	N	N	N	N	Y	Y	N	Y	N	22	4
PanCancer	CDC73	ENSG00000134371	protein_coding	79577	Y	0.0106657826601129	0.282851015479877	0.48350653095241	1	TSG	N	N	TSG	N	Y	Y	N	Y	N	N	N	N	Y	N	Y	N	25	4
PanCancer	CDKN2C	ENSG00000123080	protein_coding	1031	Y	0.363753157648742	0.596573590279973	0.447711526065277	1	TSG	N	N	N	Pssible_TSG	Y	N	N	Y	N	N	N	N	Y	Y	Y	N	25	4
PanCancer	CSF3R	ENSG00000119535	protein_coding	1441	Y	0.363233851590332	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	Y	N	22	4
PanCancer	DDR2	ENSG00000162733	protein_coding	4921	Y	0.469066160725404	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	Y	N	22	4
PanCancer	ELF3	ENSG00000163435	protein_coding	1999	Y	0	0	1	2	Oncogene/TSG	Y	Y	N	Pssible_TSG	Y	Y	N	N	N	N	N	Y	Y	Y	Y	N	46	4
PanCancer	ELK4	ENSG00000158711	protein_coding	2005	Y	0.191464902861239	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	EPS15	ENSG00000085832	protein_coding	2060	Y	0.111519114492357	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	ERRFI1	ENSG00000116285	protein_coding	54206	Y	0.0267847689044714	0.525403439989728	0.453782835822475	N	TSG	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	FCGR2B	ENSG00000072694	protein_coding	2213	Y	0.314690144250899	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	FCRL4	ENSG00000163518	protein_coding	83417	Y	0.44946824138416	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	FH	ENSG00000091483	protein_coding	2271	Y	0.327312531913646	0.596573590279973	0.447711526065277	1	TSG	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	FUBP1	ENSG00000162613	protein_coding	8880	Y	0	0	1	1	TSG	Y	Y	TSG	TSG	N	Y	Y	N	Y	N	Y	Y	Y	N	Y	Y	48	4
PanCancer	H3F3A	ENSG00000163041	protein_coding	3020	Y	0.0881876085221576	0.596573590279973	0.447711526065277	1	Oncogene	N	N	Oncogene	Pssible_Oncogene	N	N	N	N	Y	N	N	N	Y	N	N	N	24	4
PanCancer	ID3	ENSG00000117318	protein_coding	3399	Y	0.0946762893985452	0.596573590279973	0.447711526065277	2	TSG	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	20	4
PanCancer	JAK1	ENSG00000162434	protein_coding	3716	Y	3.90493768000658e-05	0.00220273003938493	0.707041847316479	1	Oncogene/TSG	Y	N	Oncogene	TSG	N	N	Y	N	Y	N	N	Y	Y	N	Y	N	36	4
PanCancer	JUN	ENSG00000177606	protein_coding	3725	Y	0.119572208898028	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	21	4
PanCancer	LCK	ENSG00000182866	protein_coding	3932	Y	0.380927904925378	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	LMNA	ENSG00000160789	protein_coding	4000	Y	0.293105642780943	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	MDM4	ENSG00000198625	protein_coding	4194	Y	0.51678773386833	0.596573590279973	0.447711526065277	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	21	4
PanCancer	MLLT11	ENSG00000213190	protein_coding	10962	Y	0.345786251248186	0.596573590279973	0.447711526065277	1	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	21	4
PanCancer	MPL	ENSG00000117400	protein_coding	4352	Y	0.550443371416049	0.596573590279973	0.447711526065277	1	Oncogene	N	N	Oncogene	N	N	N	Y	N	Y	N	N	N	Y	N	Y	N	24	4
PanCancer	MTOR	ENSG00000198793	protein_coding	2475	Y	0.00481775623405941	0.152911137891783	0.513120884599429	1	Oncogene	N	Y	N	Pssible_Oncogene	Y	Y	Y	N	N	N	N	Y	Y	Y	Y	Y	37	4
