Gene_symbol	Ensembl_ID	hgnc_id
A1CF	ENSG00000148584	HGNC:24086
ABI1	ENSG00000136754	HGNC:11320
ABL1	ENSG00000097007	HGNC:76
ABL2	ENSG00000143322	HGNC:77
ACKR3	ENSG00000144476	HGNC:23692
ACSL3	ENSG00000123983	HGNC:3570
ACSL6	ENSG00000164398	HGNC:16496
ACVR1	ENSG00000115170	HGNC:171
ACVR1B	ENSG00000135503	HGNC:172
ACVR2A	ENSG00000121989	HGNC:173
AFDN	ENSG00000130396	HGNC:7137
AFF1	ENSG00000172493	HGNC:7135
AFF3	ENSG00000144218	HGNC:6473
AFF4	ENSG00000072364	HGNC:17869
AJUBA	ENSG00000129474	HGNC:20250
AKAP9	ENSG00000127914	HGNC:379
AKT1	ENSG00000142208	HGNC:391
AKT2	ENSG00000105221	HGNC:392
AKT3	ENSG00000117020	HGNC:393
ALB	ENSG00000163631	HGNC:399
ALK	ENSG00000171094	HGNC:427
AMER1	ENSG00000184675	HGNC:26837
APC	ENSG00000134982	HGNC:583
APOBEC3B	ENSG00000179750	HGNC:17352
AR	ENSG00000169083	HGNC:644
ARAF	ENSG00000078061	HGNC:646
ARHGAP26	ENSG00000145819	HGNC:17073
ARHGAP35	ENSG00000160007	HGNC:4591
ARHGAP5	ENSG00000100852	HGNC:675
ARHGEF12	ENSG00000196914	HGNC:14193
ARID1A	ENSG00000117713	HGNC:11110
ARID1B	ENSG00000049618	HGNC:18040
ARID2	ENSG00000189079	HGNC:18037
ARID4B	ENSG00000054267	HGNC:15550
ARID5B	ENSG00000150347	HGNC:17362
ARNT	ENSG00000143437	HGNC:700
ASPSCR1	ENSG00000169696	HGNC:13825
ASXL1	ENSG00000171456	HGNC:18318
ASXL2	ENSG00000143970	HGNC:23805
ATF1	ENSG00000123268	HGNC:783
ATF7IP	ENSG00000171681	HGNC:20092
ATIC	ENSG00000138363	HGNC:794
ATM	ENSG00000149311	HGNC:795
ATP1A1	ENSG00000163399	HGNC:799
ATP2B3	ENSG00000263148	HGNC:816
ATR	ENSG00000175054	HGNC:882
ATRX	ENSG00000268946	HGNC:886
AXIN1	ENSG00000103126	HGNC:903
AXIN2	ENSG00000168646	HGNC:904
B2M	ENSG00000166710	HGNC:914
BAP1	ENSG00000163930	HGNC:950
BARD1	ENSG00000138376	HGNC:952
BAX	ENSG00000087088	HGNC:959
BCL10	ENSG00000142867	HGNC:989
BCL11A	ENSG00000119866	HGNC:13221
BCL11B	ENSG00000127152	HGNC:13222
BCL2	ENSG00000171791	HGNC:990
BCL3	ENSG00000069399	HGNC:998
BCL6	ENSG00000113916	HGNC:1001
BCL7A	ENSG00000110987	HGNC:1004
BCL9	ENSG00000266095	HGNC:1008
BCL9L	ENSG00000186174	HGNC:23688
BCOR	ENSG00000183337	HGNC:20893
BCORL1	ENSG00000085185	HGNC:25657
BCR	ENSG00000186716	HGNC:1014
BIRC3	ENSG00000023445	HGNC:591
BIRC6	ENSG00000115760	HGNC:13516
BLM	ENSG00000197299	HGNC:1058
BMPR1A	ENSG00000107779	HGNC:1076
BRAF	ENSG00000157764	HGNC:1097
BRCA1	ENSG00000012048	HGNC:1100
BRCA2	ENSG00000139618	HGNC:1101
BRD3	ENSG00000169925	HGNC:1104
BRD4	ENSG00000141867	HGNC:13575
BRD7	ENSG00000166164	HGNC:14310
BRIP1	ENSG00000136492	HGNC:20473
BTG1	ENSG00000133639	HGNC:1130
BTG2	ENSG00000159388	HGNC:1131
BTK	ENSG00000268897	HGNC:1133
BUB1B	ENSG00000156970	HGNC:1149
C3orf70	ENSG00000187068	HGNC:33731
CACNA1D	ENSG00000157388	HGNC:1391
CALR	ENSG00000179218	HGNC:1455
CAMTA1	ENSG00000171735	HGNC:18806
CANT1	ENSG00000171302	HGNC:19721
CARD11	ENSG00000198286	HGNC:16393
CARS	ENSG00000110619	HGNC:1493
CASP8	ENSG00000064012	HGNC:1509
CBFA2T3	ENSG00000129993	HGNC:1537
CBFB	ENSG00000067955	HGNC:1539
CBL	ENSG00000110395	HGNC:1541
CBLB	ENSG00000114423	HGNC:1542
CBLC	ENSG00000142273	HGNC:15961
CCDC6	ENSG00000108091	HGNC:18782
CCDC66	ENSG00000180376	HGNC:27709
CCDC73	ENSG00000186714	HGNC:23261
CCNB1IP1	ENSG00000100814	HGNC:19437
CCND1	ENSG00000110092	HGNC:1582
CCND2	ENSG00000118971	HGNC:1583
CCND3	ENSG00000112576	HGNC:1585
CCNE1	ENSG00000105173	HGNC:1589
CD274	ENSG00000120217	HGNC:17635
CD28	ENSG00000178562	HGNC:1653
CD58	ENSG00000116815	HGNC:1688
CD70	ENSG00000125726	HGNC:11937
CD74	ENSG00000019582	HGNC:1697
CD79A	ENSG00000272985	HGNC:1698
CD79B	ENSG00000007312	HGNC:1699
CDC73	ENSG00000134371	HGNC:16783
CDH1	ENSG00000039068	HGNC:1748
CDH11	ENSG00000140937	HGNC:1750
CDK12	ENSG00000167258	HGNC:24224
CDK4	ENSG00000135446	HGNC:1773
CDK6	ENSG00000105810	HGNC:1777
CDKN1A	ENSG00000124762	HGNC:1784
CDKN1B	ENSG00000111276	HGNC:1785
CDKN2A	ENSG00000147889	HGNC:1787
CDKN2B	ENSG00000147883	HGNC:1788
CDKN2C	ENSG00000123080	HGNC:1789
CDX2	ENSG00000165556	HGNC:1806
CEBPA	ENSG00000245848	HGNC:1833
CHCHD7	ENSG00000170791	HGNC:28314
CHD2	ENSG00000173575	HGNC:1917
CHD4	ENSG00000111642	HGNC:1919
CHEK2	ENSG00000183765	HGNC:16627
CHIC2	ENSG00000109220	HGNC:1935
CIC	ENSG00000079432	HGNC:14214
CIITA	ENSG00000179583	HGNC:7067
CLIP1	ENSG00000130779	HGNC:10461
CLP1	ENSG00000172409	HGNC:16999
CLTC	ENSG00000141367	HGNC:2092
CLTCL1	ENSG00000269216	HGNC:2093
CNBD1	ENSG00000176571	HGNC:26663
CNBP	ENSG00000169714	HGNC:13164
CNOT3	ENSG00000273273	HGNC:7879
CNTRL	ENSG00000119397	HGNC:1858
COL1A1	ENSG00000108821	HGNC:2197
COL2A1	ENSG00000139219	HGNC:2200
CREB1	ENSG00000118260	HGNC:2345
CREB3L1	ENSG00000157613	HGNC:18856
CREB3L2	ENSG00000182158	HGNC:23720
CREBBP	ENSG00000005339	HGNC:2348
CRLF2	ENSG00000205755	HGNC:14281
CRTC1	ENSG00000105662	HGNC:16062
CRTC3	ENSG00000140577	HGNC:26148
CS	ENSG00000062485	HGNC:2422
CSF1R	ENSG00000182578	HGNC:2433
CSF3R	ENSG00000119535	HGNC:2439
CSMD3	ENSG00000164796	HGNC:19291
CTCF	ENSG00000102974	HGNC:13723
CTNNB1	ENSG00000168036	HGNC:2514
CTNND1	ENSG00000198561	HGNC:2515
CTNND2	ENSG00000169862	HGNC:2516
CUL3	ENSG00000036257	HGNC:2553
CUX1	ENSG00000259938	HGNC:2557
CXCR4	ENSG00000121966	HGNC:2561
CYLD	ENSG00000083799	HGNC:2584
CYSLTR2	ENSG00000152207	HGNC:18274
DAXX	ENSG00000206206	HGNC:2681
DCTN1	ENSG00000204843	HGNC:2711
DDB2	ENSG00000134574	HGNC:2718
DDIT3	ENSG00000175197	HGNC:2726
DDR2	ENSG00000162733	HGNC:2731
DDX10	ENSG00000178105	HGNC:2735
DDX3X	ENSG00000215301	HGNC:2745
DDX5	ENSG00000108654	HGNC:2746
DDX6	ENSG00000269612	HGNC:2747
DEK	ENSG00000124795	HGNC:2768
DICER1	ENSG00000100697	HGNC:17098
DIS3	ENSG00000083520	HGNC:20604
DNAJB1	ENSG00000132002	HGNC:5270
DNM2	ENSG00000079805	HGNC:2974
DNMT3A	ENSG00000119772	HGNC:2978
DOT1L	ENSG00000104885	HGNC:24948
DROSHA	ENSG00000113360	HGNC:17904
DTX1	ENSG00000135144	HGNC:3060
DYRK1A	ENSG00000157540	HGNC:3091
EBF1	ENSG00000164330	HGNC:3126
ECT2L	ENSG00000203734	HGNC:21118
EED	ENSG00000074266	HGNC:3188
EEF1A1	ENSG00000156508	HGNC:3189
EGFR	ENSG00000146648	HGNC:3236
EIF1AX	ENSG00000173674	HGNC:3250
EIF3E	ENSG00000104408	HGNC:3277
EIF4A2	ENSG00000156976	HGNC:3284
EIF5B	ENSG00000158417	HGNC:30793
ELF3	ENSG00000163435	HGNC:3318
ELF4	ENSG00000102034	HGNC:3319
ELK4	ENSG00000158711	HGNC:3326
ELL	ENSG00000105656	HGNC:23114
ELN	ENSG00000262184	HGNC:3327
EMG1	ENSG00000268439	HGNC:16912
EML4	ENSG00000143924	HGNC:1316
EP300	ENSG00000100393	HGNC:3373
EPAS1	ENSG00000116016	HGNC:3374
EPHA3	ENSG00000044524	HGNC:3387
EPHA5	ENSG00000145242	HGNC:3389
EPHA7	ENSG00000135333	HGNC:3390
EPS15	ENSG00000085832	HGNC:3419
ERBB2	ENSG00000141736	HGNC:3430
ERBB3	ENSG00000065361	HGNC:3431
ERBB4	ENSG00000178568	HGNC:3432
ERC1	ENSG00000082805	HGNC:17072
ERCC2	ENSG00000104884	HGNC:3434
ERCC3	ENSG00000163161	HGNC:3435
ERCC4	ENSG00000175595	HGNC:3436
ERCC5	ENSG00000134899	HGNC:3437
ERF	ENSG00000105722	HGNC:3444
ERG	ENSG00000157554	HGNC:3446
ERRFI1	ENSG00000116285	HGNC:18185
ESR1	ENSG00000091831	HGNC:3467
ETNK1	ENSG00000139163	HGNC:24649
ETV1	ENSG00000006468	HGNC:3490
ETV4	ENSG00000175832	HGNC:3493
ETV5	ENSG00000244405	HGNC:3494
ETV6	ENSG00000139083	HGNC:3495
EWSR1	ENSG00000182944	HGNC:3508
EXT1	ENSG00000182197	HGNC:3512
EXT2	ENSG00000151348	HGNC:3513
EZH2	ENSG00000106462	HGNC:3527
EZR	ENSG00000092820	HGNC:12691
FAM135B	ENSG00000147724	HGNC:28029
FANCA	ENSG00000187741	HGNC:3582
FANCC	ENSG00000158169	HGNC:3584
FANCD2	ENSG00000144554	HGNC:3585
FANCE	ENSG00000112039	HGNC:3586
FANCF	ENSG00000183161	HGNC:3587
FANCG	ENSG00000221829	HGNC:3588
FAS	ENSG00000026103	HGNC:11920
FAT1	ENSG00000083857	HGNC:3595
FAT3	ENSG00000165323	HGNC:23112
FAT4	ENSG00000196159	HGNC:23109
FBXO11	ENSG00000138081	HGNC:13590
FBXW7	ENSG00000109670	HGNC:16712
FCGR2B	ENSG00000072694	HGNC:3618
FCRL4	ENSG00000163518	HGNC:18507
FES	ENSG00000182511	HGNC:3657
FEV	ENSG00000163497	HGNC:18562
FGFR1	ENSG00000077782	HGNC:3688
FGFR1OP	ENSG00000213066	HGNC:17012
FGFR2	ENSG00000066468	HGNC:3689
FGFR3	ENSG00000068078	HGNC:3690
FGFR4	ENSG00000160867	HGNC:3691
FH	ENSG00000091483	HGNC:3700
FHIT	ENSG00000189283	HGNC:3701
FIP1L1	ENSG00000145216	HGNC:19124
FLCN	ENSG00000154803	HGNC:27310
FLI1	ENSG00000151702	HGNC:3749
FLT3	ENSG00000122025	HGNC:3765
FLT4	ENSG00000037280	HGNC:3767
FNBP1	ENSG00000187239	HGNC:17069
FOXA1	ENSG00000129514	HGNC:5021
FOXL2	ENSG00000183770	HGNC:1092
FOXO1	ENSG00000150907	HGNC:3819
FOXO3	ENSG00000118689	HGNC:3821
FOXO4	ENSG00000184481	HGNC:7139
FOXP1	ENSG00000114861	HGNC:3823
FRG1	ENSG00000109536	HGNC:3954
FSTL3	ENSG00000070404	HGNC:3973
FUBP1	ENSG00000162613	HGNC:4004
FUS	ENSG00000089280	HGNC:4010
GAS7	ENSG00000007237	HGNC:4169
GATA1	ENSG00000267841	HGNC:4170
GATA2	ENSG00000179348	HGNC:4171
GATA3	ENSG00000107485	HGNC:4172
GLI1	ENSG00000111087	HGNC:4317
GMPS	ENSG00000163655	HGNC:4378
GNA11	ENSG00000088256	HGNC:4379
GNA13	ENSG00000120063	HGNC:4381
GNAQ	ENSG00000156052	HGNC:4390
GNAS	ENSG00000087460	HGNC:4392
GOLGA5	ENSG00000066455	HGNC:4428
GOPC	ENSG00000047932	HGNC:17643
GPC3	ENSG00000147257	HGNC:4451
GPHN	ENSG00000171723	HGNC:15465
GPS2	ENSG00000132522	HGNC:4550
GRIN2A	ENSG00000183454	HGNC:4585
GRM3	ENSG00000198822	HGNC:4595
GTF2I	ENSG00000263001	HGNC:4659
H3F3A	ENSG00000163041	HGNC:4764
H3F3B	ENSG00000132475	HGNC:4765
HERPUD1	ENSG00000051108	HGNC:13744
HEY1	ENSG00000164683	HGNC:4880
HIF1A	ENSG00000100644	HGNC:4910
HIP1	ENSG00000263334	HGNC:4913
HIST1H1C	ENSG00000187837	HGNC:4716
HIST1H3B	ENSG00000124693	HGNC:4776
HIST1H4I	ENSG00000198339	HGNC:4793
HLA-A	ENSG00000224320	HGNC:4931
HLA-B	ENSG00000234745	HGNC:4932
HLF	ENSG00000108924	HGNC:4977
HMGA1	ENSG00000137309	HGNC:5010
HMGA2	ENSG00000149948	HGNC:5009
