HugoSymbol,RoleInCancer,Kinase_PPtase,TF,Location
A1CF,Oncogenes,Other,Other,Other
ABI1,TSGs,Other,Other,Other
ABL1,Oncogenes,Kinases,Other,Other
ABL2,Oncogenes,Kinases,Other,Other
ACKR3,Oncogenes,Other,Other,Receptors
ACSL3,Other,Other,Other,Other
ACSL6,Other,Other,Other,Other
ACVR1,Oncogenes,Kinases,Other,Receptors
ACVR2A,TSGs,Kinases,Other,Other
AFDN,Oncogenes,Other,Other,Other
AFF1,Oncogenes,Other,Other,Other
AFF3,Oncogenes,Other,Other,Other
AFF4,Oncogenes,Other,Other,Other
AKAP9,Oncogenes,Other,Other,Other
AKT1,Oncogenes,Kinases,Other,Other
AKT2,Oncogenes,Kinases,Other,Other
AKT3,Oncogenes,Kinases,Other,Other
ALDH2,Other,Other,Other,Other
ALK,Oncogenes,Kinases,Other,Receptors
AMER1,TSGs,Other,Other,Other
ANK1,Other,Other,Other,Other
APC,TSGs,Other,Other,Other
APOBEC3B,Oncogenes,Other,Other,Other
APOBEC3B,TSGs,Other,Other,Other
AR,Oncogenes,Other,TFs,Other
ARAF,Oncogenes,Kinases,Other,Other
ARHGAP26,TSGs,Other,Other,Other
ARHGAP35,TSGs,Other,Other,Other
ARHGAP5,Oncogenes,Other,Other,Other
ARHGEF10,TSGs,Other,Other,Other
ARHGEF10L,TSGs,Other,Other,Other
ARHGEF12,TSGs,Other,Other,Other
ARID1A,TSGs,Other,Other,Other
ARID1B,TSGs,Other,Other,Other
ARID2,TSGs,Other,Other,Other
ARNT,Oncogenes,Other,TFs,Other
ARNT,TSGs,Other,TFs,Other
ASPSCR1,Oncogenes,Other,Other,Other
ASXL1,TSGs,Other,TFs,Other
ASXL2,TSGs,Other,Other,Other
ATF1,Oncogenes,Other,TFs,Other
ATIC,Other,Other,Other,Other
ATM,TSGs,Kinases,Other,Other
ATP1A1,Oncogenes,Other,Other,Other
ATP1A1,TSGs,Other,Other,Other
ATP2B3,TSGs,Other,Other,Other
ATR,TSGs,Kinases,Other,Other
ATRX,TSGs,Other,Other,Other
AXIN1,TSGs,Other,Other,Other
AXIN2,TSGs,Other,Other,Other
B2M,TSGs,Other,Other,Other
BAP1,TSGs,Other,Other,Other
BARD1,Oncogenes,Other,Other,Other
BARD1,TSGs,Other,Other,Other
BAX,Oncogenes,Other,Other,Other
BAX,TSGs,Other,Other,Other
BAZ1A,TSGs,Other,Other,Other
BCL10,TSGs,Other,Other,Other
BCL11A,Oncogenes,Other,TFs,Other
BCL11B,Oncogenes,Other,TFs,Other
BCL11B,TSGs,Other,TFs,Other
BCL2,Oncogenes,Other,Other,Other
BCL2,TSGs,Other,Other,Other
BCL2L12,Oncogenes,Other,Other,Other
BCL3,Oncogenes,Other,TFs,Other
BCL6,Oncogenes,Other,TFs,Other
BCL7A,Other,Other,Other,Other
BCL9,Oncogenes,Other,Other,Other
BCL9L,Oncogenes,Other,Other,Other
BCL9L,TSGs,Other,Other,Other
BCLAF1,Other,Other,Other,Other
BCOR,TSGs,Other,TFs,Other
