Gene	oncogene	tsgene	hgnc_id
ABL1	FALSE	FALSE	HGNC:76
ACVR1	TRUE	FALSE	HGNC:171
ACVR1B	FALSE	TRUE	HGNC:172
ACVR2A	FALSE	TRUE	HGNC:173
AJUBA	FALSE	TRUE	HGNC:20250
AKT1	TRUE	FALSE	HGNC:391
ALB	FALSE	TRUE	HGNC:399
ALK	FALSE	FALSE	HGNC:427
AMER1	FALSE	TRUE	HGNC:26837
APC	FALSE	TRUE	HGNC:583
APOB	FALSE	TRUE	HGNC:603
AR	FALSE	FALSE	HGNC:644
ARAF	FALSE	FALSE	HGNC:646
ARHGAP35	FALSE	TRUE	HGNC:4591
ARID1A	TRUE	TRUE	HGNC:11110
ARID2	FALSE	TRUE	HGNC:18037
ARID5B	FALSE	TRUE	HGNC:17362
ASXL1	FALSE	TRUE	HGNC:18318
ASXL2	FALSE	TRUE	HGNC:23805
ATF7IP	FALSE	TRUE	HGNC:20092
ATM	FALSE	TRUE	HGNC:795
ATR	FALSE	TRUE	HGNC:882
ATRX	FALSE	TRUE	HGNC:886
ATXN3	FALSE	TRUE	HGNC:7106
AXIN1	FALSE	TRUE	HGNC:903
AXIN2	FALSE	TRUE	HGNC:904
B2M	FALSE	TRUE	HGNC:914
BAP1	FALSE	TRUE	HGNC:950
BCL2	FALSE	FALSE	HGNC:990
BCL2L11	FALSE	FALSE	HGNC:994
BCOR	TRUE	TRUE	HGNC:20893
BRAF	TRUE	FALSE	HGNC:1097
BRCA1	FALSE	TRUE	HGNC:1100
BRCA2	FALSE	TRUE	HGNC:1101
BRD7	FALSE	TRUE	HGNC:14310
BTG2	FALSE	TRUE	HGNC:1131
CACNA1A	TRUE	FALSE	HGNC:1388
CARD11	TRUE	FALSE	HGNC:16393
CASP8	FALSE	TRUE	HGNC:1509
CBFB	FALSE	TRUE	HGNC:1539
CBWD3	FALSE	FALSE	HGNC:18519
CCND1	TRUE	FALSE	HGNC:1582
CD70	FALSE	TRUE	HGNC:11937
CD79B	TRUE	FALSE	HGNC:1699
CDH1	TRUE	TRUE	HGNC:1748
CDK12	FALSE	TRUE	HGNC:24224
CDK4	TRUE	FALSE	HGNC:1773
CDKN1A	TRUE	TRUE	HGNC:1784
CDKN1B	FALSE	TRUE	HGNC:1785
CDKN2A	FALSE	TRUE	HGNC:1787
CDKN2C	FALSE	TRUE	HGNC:1789
CEBPA	TRUE	FALSE	HGNC:1833
CHD3	FALSE	TRUE	HGNC:1918
CHD4	TRUE	TRUE	HGNC:1919
CHD8	FALSE	TRUE	HGNC:20153
CHEK2	FALSE	TRUE	HGNC:16627
CIC	FALSE	TRUE	HGNC:14214
CNBD1	TRUE	FALSE	HGNC:26663
COL5A1	TRUE	FALSE	HGNC:2209
CREB3L3	FALSE	TRUE	HGNC:18855
CREBBP	FALSE	TRUE	HGNC:2348
CSDE1	FALSE	TRUE	HGNC:29905
CTCF	FALSE	TRUE	HGNC:13723
CTNNB1	TRUE	FALSE	HGNC:2514
CTNND1	FALSE	TRUE	HGNC:2515
CUL1	TRUE	FALSE	HGNC:2551
CUL3	FALSE	TRUE	HGNC:2553
CYLD	FALSE	TRUE	HGNC:2584
CYSLTR2	TRUE	FALSE	HGNC:18274
DACH1	TRUE	FALSE	HGNC:2663
DAZAP1	FALSE	TRUE	HGNC:2683
DDX3X	FALSE	TRUE	HGNC:2745
DHX9	TRUE	FALSE	HGNC:2750
DIAPH2	TRUE	FALSE	HGNC:2877
DICER1	TRUE	FALSE	HGNC:17098
DMD	TRUE	FALSE	HGNC:2928
DNMT3A	FALSE	TRUE	HGNC:2978
EEF1A1	TRUE	FALSE	HGNC:3189
EEF2	FALSE	TRUE	HGNC:3214
EGFR	TRUE	FALSE	HGNC:3236
EGR3	FALSE	FALSE	HGNC:3240
EIF1AX	TRUE	FALSE	HGNC:3250
ELF3	FALSE	TRUE	HGNC:3318
EP300	TRUE	TRUE	HGNC:3373
EPAS1	TRUE	FALSE	HGNC:3374
EPHA2	FALSE	TRUE	HGNC:3386
EPHA3	FALSE	FALSE	HGNC:3387
ERBB2	TRUE	FALSE	HGNC:3430
ERBB3	TRUE	FALSE	HGNC:3431
ERBB4	TRUE	FALSE	HGNC:3432
ERCC2	TRUE	FALSE	HGNC:3434
