gene	hgnc_id
ABL1	HGNC:76
ABL2	HGNC:77
ACVR1	HGNC:171
ACVR1B	HGNC:172
AKT1	HGNC:391
AKT2	HGNC:392
AKT3	HGNC:393
ALK	HGNC:427
ALOX12B	HGNC:430
ANKRD11	HGNC:21316
ANKRD26	HGNC:29186
APC	HGNC:583
AR	HGNC:644
ARAF	HGNC:646
ARFRP1	HGNC:662
ARID1A	HGNC:11110
ARID1B	HGNC:18040
ARID2	HGNC:18037
ARID5B	HGNC:17362
ASXL1	HGNC:18318
ASXL2	HGNC:23805
ATM	HGNC:795
ATR	HGNC:882
ATRX	HGNC:886
AURKA	HGNC:11393
AURKB	HGNC:11390
AXIN1	HGNC:903
AXIN2	HGNC:904
AXL	HGNC:905
B2M	HGNC:914
BAP1	HGNC:950
BARD1	HGNC:952
BBC3	HGNC:17868
BCL10	HGNC:989
BCL2	HGNC:990
BCL2L1	HGNC:992
BCL2L11	HGNC:994
BCL2L2	HGNC:995
BCL6	HGNC:1001
BCOR	HGNC:20893
BCORL1	HGNC:25657
BCR	HGNC:1014
BIRC3	HGNC:591
BLM	HGNC:1058
BMPR1A	HGNC:1076
BRAF	HGNC:1097
BRCA1	HGNC:1100
BRCA2	HGNC:1101
BRD4	HGNC:13575
BRIP1	HGNC:20473
BTG1	HGNC:1130
BTK	HGNC:1133
C11orf30	HGNC:18071
CALR	HGNC:1455
CARD11	HGNC:16393
CASP8	HGNC:1509
CBFB	HGNC:1539
CBL	HGNC:1541
CCND1	HGNC:1582
CCND2	HGNC:1583
CCND3	HGNC:1585
CCNE1	HGNC:1589
CD274	HGNC:17635
CD276	HGNC:19137
CD74	HGNC:1697
CD79A	HGNC:1698
CD79B	HGNC:1699
CDC73	HGNC:16783
CDH1	HGNC:1748
CDK12	HGNC:24224
CDK4	HGNC:1773
CDK6	HGNC:1777
CDK8	HGNC:1779
CDKN1A	HGNC:1784
CDKN1B	HGNC:1785
CDKN2A	HGNC:1787
CDKN2B	HGNC:1788
CDKN2C	HGNC:1789
CEBPA	HGNC:1833
CENPA	HGNC:1851
CHD2	HGNC:1917
CHD4	HGNC:1919
CHEK1	HGNC:1925
CHEK2	HGNC:16627
CIC	HGNC:14214
CREBBP	HGNC:2348
CRKL	HGNC:2363
CRLF2	HGNC:14281
CSF1R	HGNC:2433
CSF3R	HGNC:2439
CSNK1A1	HGNC:2451
CTCF	HGNC:13723
CTLA4	HGNC:2505
CTNNA1	HGNC:2509
CTNNB1	HGNC:2514
CUL3	HGNC:2553
CUX1	HGNC:2557
CXCR4	HGNC:2561
CYLD	HGNC:2584
DAXX	HGNC:2681
DCUN1D1	HGNC:18184
DDR2	HGNC:2731
DDX41	HGNC:18674
DHX15	HGNC:2738
DICER1	HGNC:17098
DIS3	HGNC:20604
DNAJB1	HGNC:5270
DNMT1	HGNC:2976
DNMT3A	HGNC:2978
DNMT3B	HGNC:2979
DOT1L	HGNC:24948
E2F3	HGNC:3115
EED	HGNC:3188
EGFL7	HGNC:20594
EGFR	HGNC:3236
EIF1AX	HGNC:3250
EIF4A2	HGNC:3284
EIF4E	HGNC:3287
EML4	HGNC:1316
EP300	HGNC:3373
EPCAM	HGNC:11529
EPHA3	HGNC:3387
EPHA5	HGNC:3389
EPHA7	HGNC:3390
EPHB1	HGNC:3392
ERBB2	HGNC:3430
ERBB3	HGNC:3431
ERBB4	HGNC:3432
ERCC1	HGNC:3433
ERCC2	HGNC:3434
ERCC3	HGNC:3435
ERCC4	HGNC:3436
ERCC5	HGNC:3437
ERG	HGNC:3446
ERRFI1	HGNC:18185
ESR1	HGNC:3467
ETS1	HGNC:3488
ETV1	HGNC:3490
ETV4	HGNC:3493
ETV5	HGNC:3494
ETV6	HGNC:3495
EWSR1	HGNC:3508
EZH2	HGNC:3527
FAM123B	HGNC:26837
FAM175A	HGNC:25829
FAM46C	HGNC:24712
FANCA	HGNC:3582
FANCC	HGNC:3584
FANCD2	HGNC:3585
FANCE	HGNC:3586
FANCF	HGNC:3587
FANCG	HGNC:3588
FANCI	HGNC:25568
FANCL	HGNC:20748
FAS	HGNC:11920
FAT1	HGNC:3595
FBXW7	HGNC:16712
FGF1	HGNC:3665
FGF10	HGNC:3666
FGF14	HGNC:3671
FGF19	HGNC:3675
FGF2	HGNC:3676
FGF23	HGNC:3680
FGF3	HGNC:3681
FGF4	HGNC:3682
FGF5	HGNC:3683
FGF6	HGNC:3684
FGF7	HGNC:3685
FGF8	HGNC:3686
FGF9	HGNC:3687
FGFR1	HGNC:3688
FGFR2	HGNC:3689
FGFR3	HGNC:3690
FGFR4	HGNC:3691
FH	HGNC:3700
FLCN	HGNC:27310
FLI1	HGNC:3749
FLT1	HGNC:3763
FLT3	HGNC:3765
FLT4	HGNC:3767
FOXA1	HGNC:5021
FOXL2	HGNC:1092
FOXO1	HGNC:3819
FOXP1	HGNC:3823
FRS2	HGNC:16971
FUBP1	HGNC:4004
FYN	HGNC:4037
GABRA6	HGNC:4080
GATA1	HGNC:4170
GATA2	HGNC:4171
GATA3	HGNC:4172
GATA4	HGNC:4173
GATA6	HGNC:4174
GEN1	HGNC:26881
GID4	HGNC:28453
