hgnc_id	symbol	ensembl_gene_id	hgnc_source	oncogene	tsgene	data_source
HGNC:24086	A1CF	ENSG00000148584	es105	NA	NA	bushmanlab
HGNC:18	AAMP	ENSG00000127837	es105	NA	NA	bushmanlab
HGNC:19235	AATF	ENSG00000275700	es105	NA	NA	bushmanlab
HGNC:29	ABCA1	ENSG00000165029	es105	NA	NA	bushmanlab
HGNC:33	ABCA3	ENSG00000167972	es105	NA	NA	bushmanlab
HGNC:40	ABCB1	ENSG00000085563	es105	NA	NA	bushmanlab
HGNC:41	ABCB10	ENSG00000135776	es105	NA	NA	bushmanlab
HGNC:45	ABCB4	ENSG00000005471	es105	NA	NA	bushmanlab
HGNC:46	ABCB5	ENSG00000004846	es105	NA	NA	bushmanlab
HGNC:49	ABCB8	ENSG00000197150	es105	NA	NA	bushmanlab
HGNC:51	ABCC1	ENSG00000103222	es105	NA	NA	bushmanlab
HGNC:52	ABCC10	ENSG00000124574	es105	NA	NA	bushmanlab
HGNC:14639	ABCC11	ENSG00000121270	es105	NA	NA	bushmanlab
HGNC:18717	ABHD2	ENSG00000140526	es105	NA	NA	bushmanlab
HGNC:11320	ABI1	ENSG00000136754	es105	NA	NA	bushmanlab
HGNC:76	ABL1	ENSG00000097007	es105	NA	NA	bushmanlab
HGNC:77	ABL2	ENSG00000143322	es105	NA	NA	bushmanlab
HGNC:79	ABO	ENSG00000175164	es105	NA	NA	bushmanlab
HGNC:81	ABR	ENSG00000159842	es105	NA	NA	bushmanlab
HGNC:23842	ABTB2	ENSG00000166016	es105	NA	NA	bushmanlab
HGNC:89	ACADM	ENSG00000117054	es105	NA	NA	bushmanlab
HGNC:16467	ACAP1	ENSG00000072818	es105	NA	NA	bushmanlab
HGNC:23989	ACCS	ENSG00000110455	es105	NA	NA	bushmanlab
HGNC:108	ACHE	ENSG00000087085	es105	NA	NA	bushmanlab
HGNC:23692	ACKR3	ENSG00000144476	es105	NA	NA	bushmanlab
HGNC:115	ACLY	ENSG00000131473	es105	NA	NA	bushmanlab
HGNC:3570	ACSL3	ENSG00000123983	es105	NA	NA	bushmanlab
HGNC:16526	ACSL5	ENSG00000197142	es105	NA	NA	bushmanlab
HGNC:16496	ACSL6	ENSG00000164398	es105	NA	NA	bushmanlab
HGNC:132	ACTB	ENSG00000075624	es105	NA	NA	bushmanlab
HGNC:28494	ACTL9	ENSG00000181786	es105	NA	NA	bushmanlab
HGNC:166	ACTN4	ENSG00000130402	es105	NA	NA	bushmanlab
HGNC:171	ACVR1	ENSG00000115170	es105	NA	NA	bushmanlab
HGNC:172	ACVR1B	ENSG00000135503	es105	NA	NA	bushmanlab
HGNC:173	ACVR2A	ENSG00000121989	es105	NA	NA	bushmanlab
HGNC:175	ACVRL1	ENSG00000139567	es105	NA	NA	bushmanlab
HGNC:188	ADAM10	ENSG00000137845	es105	NA	NA	bushmanlab
HGNC:190	ADAM12	ENSG00000148848	es105	NA	NA	bushmanlab
HGNC:195	ADAM17	ENSG00000151694	es105	NA	NA	bushmanlab
HGNC:202	ADAM23	ENSG00000114948	es105	NA	NA	bushmanlab
HGNC:207	ADAM29	ENSG00000168594	es105	NA	NA	bushmanlab
HGNC:216	ADAM9	ENSG00000168615	es105	NA	NA	bushmanlab
HGNC:217	ADAMTS1	ENSG00000154734	es105	NA	NA	bushmanlab
HGNC:14605	ADAMTS12	ENSG00000151388	es105	NA	NA	bushmanlab
HGNC:16305	ADAMTS15	ENSG00000166106	es105	NA	NA	bushmanlab
HGNC:17110	ADAMTS18	ENSG00000140873	es105	NA	NA	bushmanlab
HGNC:13202	ADAMTS9	ENSG00000163638	es105	NA	NA	bushmanlab
HGNC:14633	ADAMTSL3	ENSG00000156218	es105	NA	NA	bushmanlab
HGNC:227	ADARB2	ENSG00000185736	es105	NA	NA	bushmanlab
HGNC:241	ADCYAP1	ENSG00000141433	es105	NA	NA	bushmanlab
HGNC:245	ADD3	ENSG00000148700	es105	NA	NA	bushmanlab
HGNC:1711	ADGRE5	ENSG00000123146	es105	NA	NA	bushmanlab
HGNC:18582	ADGRL2	ENSG00000117114	es105	NA	NA	bushmanlab
HGNC:24040	ADIPOR1	ENSG00000159346	es105	NA	NA	bushmanlab
HGNC:286	ADRB2	ENSG00000169252	es105	NA	NA	bushmanlab
HGNC:25901	AFAP1L2	ENSG00000169129	es105	NA	NA	bushmanlab
HGNC:7137	AFDN	ENSG00000130396	es105	NA	NA	bushmanlab
HGNC:7135	AFF1	ENSG00000172493	es105	NA	NA	bushmanlab
HGNC:6473	AFF3	ENSG00000144218	es105	NA	NA	bushmanlab
HGNC:17869	AFF4	ENSG00000072364	es105	NA	NA	bushmanlab
HGNC:317	AFP	ENSG00000081051	es105	NA	NA	bushmanlab
HGNC:16921	AGAP2	ENSG00000135439	es105	NA	NA	bushmanlab
HGNC:320	AGER	ENSG00000204305	es105	NA	NA	bushmanlab
HGNC:21575	AHI1	ENSG00000135541	es105	NA	NA	bushmanlab
HGNC:8768	AIFM1	ENSG00000156709	es105	NA	NA	bushmanlab
HGNC:21411	AIFM2	ENSG00000042286	es105	NA	NA	bushmanlab
HGNC:358	AIP	ENSG00000110711	es105	NA	NA	bushmanlab
HGNC:370	AKAP12	ENSG00000131016	es105	NA	NA	bushmanlab
HGNC:371	AKAP13	ENSG00000170776	es105	NA	NA	bushmanlab
HGNC:379	AKAP9	ENSG00000127914	es105	NA	NA	bushmanlab
HGNC:386	AKR1C3	ENSG00000196139	es105	NA	NA	bushmanlab
HGNC:391	AKT1	ENSG00000142208	es105	NA	NA	bushmanlab
HGNC:28426	AKT1S1	ENSG00000204673	es105	NA	NA	bushmanlab
HGNC:392	AKT2	ENSG00000105221	es105	NA	NA	bushmanlab
HGNC:393	AKT3	ENSG00000117020	es105	NA	NA	bushmanlab
HGNC:395	ALAD	ENSG00000148218	es105	NA	NA	bushmanlab
HGNC:400	ALCAM	ENSG00000170017	es105	NA	NA	bushmanlab
HGNC:404	ALDH2	ENSG00000111275	es105	NA	NA	bushmanlab
HGNC:417	ALDOB	ENSG00000136872	es105	NA	NA	bushmanlab
HGNC:28287	ALG14	ENSG00000172339	es105	NA	NA	bushmanlab
HGNC:427	ALK	ENSG00000171094	es105	NA	NA	bushmanlab
HGNC:429	ALOX12	ENSG00000108839	es105	NA	NA	bushmanlab
HGNC:433	ALOX15	ENSG00000161905	es105	NA	NA	bushmanlab
HGNC:435	ALOX5	ENSG00000012779	es105	NA	NA	bushmanlab
HGNC:20605	ALS2CL	ENSG00000178038	es105	NA	NA	bushmanlab
HGNC:452	AMBN	ENSG00000178522	es105	NA	NA	bushmanlab
HGNC:26837	AMER1	ENSG00000184675	es105	NA	NA	bushmanlab
HGNC:463	AMFR	ENSG00000159461	es105	NA	NA	bushmanlab
HGNC:17810	AMOT	ENSG00000126016	es105	NA	NA	bushmanlab
HGNC:483	ANG	ENSG00000214274	es105	NA	NA	bushmanlab
HGNC:492	ANK1	ENSG00000029534	es105	NA	NA	bushmanlab
HGNC:24714	ANKHD1	ENSG00000131503	es105	NA	NA	bushmanlab
HGNC:25259	ANKRD44	ENSG00000065413	es105	NA	NA	bushmanlab
HGNC:14082	ANLN	ENSG00000011426	es105	NA	NA	bushmanlab
HGNC:13233	ANP32A	ENSG00000140350	es105	NA	NA	bushmanlab
HGNC:16677	ANP32B	ENSG00000136938	es105	NA	NA	bushmanlab
HGNC:533	ANXA1	ENSG00000135046	es105	NA	NA	bushmanlab
HGNC:570	AP3M2	ENSG00000070718	es105	NA	NA	bushmanlab
HGNC:576	APAF1	ENSG00000120868	es105	NA	NA	bushmanlab
HGNC:583	APC	ENSG00000134982	es105	NA	NA	bushmanlab
HGNC:24036	APC2	ENSG00000115266	es105	NA	NA	bushmanlab
HGNC:586	APEH	ENSG00000164062	es105	NA	NA	bushmanlab
HGNC:29509	APH1A	ENSG00000117362	es105	NA	NA	bushmanlab
HGNC:339	APLNR	ENSG00000134817	es105	NA	NA	bushmanlab
HGNC:605	APOBEC2	ENSG00000124701	es105	NA	NA	bushmanlab
HGNC:17352	APOBEC3B	ENSG00000179750	es105	NA	NA	bushmanlab
HGNC:637	AQP4	ENSG00000171885	es105	NA	NA	bushmanlab
HGNC:644	AR	ENSG00000169083	es105	NA	NA	bushmanlab
HGNC:646	ARAF	ENSG00000078061	es105	NA	NA	bushmanlab
HGNC:647	ARAFP2	ENSG00000224368	latest	NA	NA	bushmanlab
HGNC:16924	ARAP2	ENSG00000047365	es105	NA	NA	bushmanlab
HGNC:651	AREG	ENSG00000109321	es105	NA	NA	bushmanlab
HGNC:659	ARF6	ENSG00000165527	es105	NA	NA	bushmanlab
HGNC:18357	ARHGAP20	ENSG00000137727	es105	NA	NA	bushmanlab
HGNC:23725	ARHGAP21	ENSG00000107863	es105	NA	NA	bushmanlab
HGNC:28951	ARHGAP25	ENSG00000163219	es105	NA	NA	bushmanlab
HGNC:17073	ARHGAP26	ENSG00000145819	es105	NA	NA	bushmanlab
HGNC:674	ARHGAP4	ENSG00000089820	es105	NA	NA	bushmanlab
HGNC:675	ARHGAP5	ENSG00000100852	es105	NA	NA	bushmanlab
HGNC:14130	ARHGAP9	ENSG00000123329	es105	NA	NA	bushmanlab
HGNC:14103	ARHGEF10	ENSG00000104728	es105	NA	NA	bushmanlab
HGNC:25540	ARHGEF10L	ENSG00000074964	es105	NA	NA	bushmanlab
HGNC:14193	ARHGEF12	ENSG00000196914	es105	NA	NA	bushmanlab
HGNC:682	ARHGEF2	ENSG00000116584	es105	NA	NA	bushmanlab
HGNC:684	ARHGEF4	ENSG00000136002	es105	NA	NA	bushmanlab
