symbol	oncogene	tsgene	hgnc_id
A1CF	TRUE	FALSE	HGNC:24086
A2ML1	FALSE	FALSE	HGNC:23336
AADACL4	FALSE	FALSE	HGNC:32038
ABCA10	FALSE	FALSE	HGNC:30
ABCA13	FALSE	FALSE	HGNC:14638
ABCA7	FALSE	FALSE	HGNC:37
ABCB1	FALSE	FALSE	HGNC:40
ABCB5	FALSE	FALSE	HGNC:46
ABCC3	FALSE	FALSE	HGNC:54
ABCC5	FALSE	FALSE	HGNC:56
ABCC9	FALSE	FALSE	HGNC:60
ABCD1	FALSE	FALSE	HGNC:61
ABCF1	FALSE	FALSE	HGNC:70
ABCF2	FALSE	FALSE	HGNC:71
ABCG2	FALSE	FALSE	HGNC:74
ABCG8	FALSE	FALSE	HGNC:13887
ABHD15	FALSE	FALSE	HGNC:26971
ABI1	FALSE	TRUE	HGNC:11320
ABI3	FALSE	FALSE	HGNC:29859
ABL1	TRUE	FALSE	HGNC:76
ABL2	TRUE	FALSE	HGNC:77
ABLIM2	FALSE	FALSE	HGNC:19195
ACAN	FALSE	FALSE	HGNC:319
ACD	FALSE	FALSE	HGNC:25070
ACE	FALSE	FALSE	HGNC:2707
ACKR3	TRUE	FALSE	HGNC:23692
ACO1	FALSE	FALSE	HGNC:117
ACOXL	FALSE	FALSE	HGNC:25621
ACSL6	FALSE	FALSE	HGNC:16496
ACSM1	FALSE	FALSE	HGNC:18049
ACSM2A	FALSE	FALSE	HGNC:32017
ACSM4	FALSE	FALSE	HGNC:32016
ACTB	FALSE	FALSE	HGNC:132
ACTG1	FALSE	FALSE	HGNC:144
ACTL6B	FALSE	FALSE	HGNC:160
ACTL7B	FALSE	FALSE	HGNC:162
ACVR1	TRUE	FALSE	HGNC:171
ACVR1B	FALSE	TRUE	HGNC:172
ACVR2A	FALSE	TRUE	HGNC:173
ACVR2B	FALSE	FALSE	HGNC:174
ADAM10	FALSE	FALSE	HGNC:188
ADAM2	FALSE	FALSE	HGNC:198
ADAM22	FALSE	FALSE	HGNC:201
ADAM29	FALSE	FALSE	HGNC:207
ADAM7	FALSE	FALSE	HGNC:214
ADAMTS12	FALSE	FALSE	HGNC:14605
ADAMTS17	FALSE	FALSE	HGNC:17109
ADAMTS18	FALSE	FALSE	HGNC:17110
ADAMTS19	FALSE	FALSE	HGNC:17111
ADAMTS20	FALSE	FALSE	HGNC:17178
ADAMTS3	FALSE	FALSE	HGNC:219
ADAMTS5	FALSE	FALSE	HGNC:221
ADAMTS6	FALSE	FALSE	HGNC:222
ADAMTS9	FALSE	FALSE	HGNC:13202
ADAMTSL3	FALSE	FALSE	HGNC:14633
ADCK1	FALSE	FALSE	HGNC:19038
ADCY1	FALSE	FALSE	HGNC:232
ADCY2	FALSE	FALSE	HGNC:233
ADCY3	FALSE	FALSE	HGNC:234
ADCY5	FALSE	FALSE	HGNC:236
ADCY8	FALSE	FALSE	HGNC:239
ADD2	FALSE	FALSE	HGNC:244
ADD3	FALSE	FALSE	HGNC:245
ADGRA1	FALSE	FALSE	HGNC:13838
ADGRB3	FALSE	FALSE	HGNC:945
ADGRD1	FALSE	FALSE	HGNC:19893
ADGRF2	FALSE	FALSE	HGNC:18991
ADGRG4	FALSE	FALSE	HGNC:18992
ADGRG6	FALSE	FALSE	HGNC:13841
ADGRL1	FALSE	FALSE	HGNC:20973
ADGRL2	FALSE	FALSE	HGNC:18582
ADGRL3	FALSE	FALSE	HGNC:20974
ADGRV1	FALSE	FALSE	HGNC:17416
ADH1B	FALSE	FALSE	HGNC:250
ADIG	FALSE	FALSE	HGNC:28606
ADIPOQ	FALSE	FALSE	HGNC:13633
ADNP	FALSE	FALSE	HGNC:15766
ADRA1A	FALSE	FALSE	HGNC:277
ADRA1B	FALSE	FALSE	HGNC:278
ADRB3	FALSE	FALSE	HGNC:288
AFDN	TRUE	FALSE	HGNC:7137
AFF2	FALSE	FALSE	HGNC:3776
AFF3	TRUE	FALSE	HGNC:6473
AFF4	TRUE	FALSE	HGNC:17869
AFM	FALSE	FALSE	HGNC:316
AFMID	FALSE	FALSE	HGNC:20910
AGBL2	FALSE	FALSE	HGNC:26296
AGBL5	FALSE	FALSE	HGNC:26147
AGGF1	FALSE	FALSE	HGNC:24684
AGO4	FALSE	FALSE	HGNC:18424
AGTR2	FALSE	FALSE	HGNC:338
AHCTF1	FALSE	FALSE	HGNC:24618
AHCYL2	FALSE	FALSE	HGNC:22204
AHI1	FALSE	FALSE	HGNC:21575
AHNAK	FALSE	FALSE	HGNC:347
AHNAK2	FALSE	FALSE	HGNC:20125
AHSA1	FALSE	FALSE	HGNC:1189
AJAP1	FALSE	FALSE	HGNC:30801
AJUBA	FALSE	FALSE	HGNC:20250
AK8	FALSE	FALSE	HGNC:26526
AKAP11	FALSE	FALSE	HGNC:369
AKAP13	FALSE	FALSE	HGNC:371
AKAP6	FALSE	FALSE	HGNC:376
AKAP8	FALSE	FALSE	HGNC:378
AKAP9	FALSE	FALSE	HGNC:379
AKR1B10	FALSE	FALSE	HGNC:382
AKR1C2	FALSE	FALSE	HGNC:385
AKR1D1	FALSE	FALSE	HGNC:388
AKT1	TRUE	FALSE	HGNC:391
AKT2	TRUE	FALSE	HGNC:392
AKT3	TRUE	FALSE	HGNC:393
ALB	FALSE	FALSE	HGNC:399
ALDH5A1	FALSE	FALSE	HGNC:408
ALDOA	FALSE	FALSE	HGNC:414
ALK	TRUE	FALSE	HGNC:427
ALKBH6	FALSE	FALSE	HGNC:28243
ALLC	FALSE	FALSE	HGNC:17377
ALMS1	FALSE	FALSE	HGNC:428
ALOX12	FALSE	FALSE	HGNC:429
ALOX12B	FALSE	FALSE	HGNC:430
ALPK1	FALSE	FALSE	HGNC:20917
ALPK2	FALSE	FALSE	HGNC:20565
ALS2CL	FALSE	FALSE	HGNC:20605
ALX4	FALSE	FALSE	HGNC:450
ALYREF	FALSE	FALSE	HGNC:19071
AMER1	FALSE	TRUE	HGNC:26837
AMOT	FALSE	FALSE	HGNC:17810
AMOTL1	FALSE	FALSE	HGNC:17811
AMPH	FALSE	FALSE	HGNC:471
AMY2B	FALSE	FALSE	HGNC:478
ANG	FALSE	FALSE	HGNC:483
ANGPT1	FALSE	FALSE	HGNC:484
ANK1	FALSE	FALSE	HGNC:492
ANK2	FALSE	FALSE	HGNC:493
ANK3	FALSE	FALSE	HGNC:494
ANKLE2	FALSE	FALSE	HGNC:29101
ANKRD12	FALSE	FALSE	HGNC:29135
ANKRD13A	FALSE	FALSE	HGNC:21268
ANKRD16	FALSE	FALSE	HGNC:23471
ANKRD17	FALSE	FALSE	HGNC:23575
ANKRD18A	FALSE	FALSE	HGNC:23643
ANKRD24	FALSE	FALSE	HGNC:29424
ANKRD26	FALSE	FALSE	HGNC:29186
ANKRD30BL	FALSE	FALSE	HGNC:35167
ANKRD36	FALSE	FALSE	HGNC:24079
ANKRD36C	FALSE	FALSE	HGNC:32946
ANKRD50	FALSE	FALSE	HGNC:29223
ANLN	FALSE	FALSE	HGNC:14082
ANO4	FALSE	FALSE	HGNC:23837
ANPEP	FALSE	FALSE	HGNC:500
ANXA2	FALSE	FALSE	HGNC:537
ANXA8L1	FALSE	FALSE	HGNC:23334
AOX1	FALSE	FALSE	HGNC:553
AP1B1	FALSE	FALSE	HGNC:554
AP1S1	FALSE	FALSE	HGNC:559
AP2A1	FALSE	FALSE	HGNC:561
AP3D1	FALSE	FALSE	HGNC:568
APC	FALSE	TRUE	HGNC:583
API5	FALSE	FALSE	HGNC:594
APLNR	FALSE	FALSE	HGNC:339
APMAP	FALSE	FALSE	HGNC:13238
APOB	FALSE	FALSE	HGNC:603
APOBEC2	FALSE	FALSE	HGNC:605
APOBEC3B	TRUE	TRUE	HGNC:17352
APOBR	FALSE	FALSE	HGNC:24087
APOL2	FALSE	FALSE	HGNC:619
AQP12A	FALSE	FALSE	HGNC:19941
AQP7	FALSE	FALSE	HGNC:640
AR	TRUE	FALSE	HGNC:644
ARAF	TRUE	FALSE	HGNC:646
AREG	FALSE	FALSE	HGNC:651
ARHGAP26	FALSE	TRUE	HGNC:17073
ARHGAP28	FALSE	FALSE	HGNC:25509
ARHGAP32	FALSE	FALSE	HGNC:17399
ARHGAP35	FALSE	FALSE	HGNC:4591
ARHGAP4	FALSE	FALSE	HGNC:674
ARHGAP5	TRUE	FALSE	HGNC:675
ARHGEF10	FALSE	TRUE	HGNC:14103
ARHGEF10L	FALSE	TRUE	HGNC:25540
ARHGEF11	FALSE	FALSE	HGNC:14580
ARHGEF12	FALSE	TRUE	HGNC:14193
ARHGEF18	FALSE	FALSE	HGNC:17090
ARHGEF25	FALSE	FALSE	HGNC:30275
ARHGEF3	FALSE	FALSE	HGNC:683
ARHGEF6	FALSE	FALSE	HGNC:685
ARID1A	FALSE	TRUE	HGNC:11110
ARID1B	FALSE	TRUE	HGNC:18040
ARID2	FALSE	TRUE	HGNC:18037
ARID3B	FALSE	FALSE	HGNC:14350
ARID5B	FALSE	FALSE	HGNC:17362
ARIH1	FALSE	FALSE	HGNC:689
ARMCX3	FALSE	FALSE	HGNC:24065
ARMH3	FALSE	FALSE	HGNC:25788
ARNT	TRUE	TRUE	HGNC:700
ARNT2	FALSE	FALSE	HGNC:16876
ARNTL	FALSE	FALSE	HGNC:701
ARPC1B	FALSE	FALSE	HGNC:704
ARRDC5	FALSE	FALSE	HGNC:31407
ARSD	FALSE	FALSE	HGNC:717
ASAP2	FALSE	FALSE	HGNC:2721
ASB15	FALSE	FALSE	HGNC:19767
ASB9	FALSE	FALSE	HGNC:17184
ASCC2	FALSE	FALSE	HGNC:24103
ASCC3	FALSE	FALSE	HGNC:18697
ASH1L	FALSE	FALSE	HGNC:19088
ASL	FALSE	FALSE	HGNC:746
ASPHD1	FALSE	FALSE	HGNC:27380
ASPM	FALSE	FALSE	HGNC:19048
ASPSCR1	FALSE	FALSE	HGNC:13825
ASTN1	FALSE	FALSE	HGNC:773
ASTN2	FALSE	FALSE	HGNC:17021
ASXL1	FALSE	TRUE	HGNC:18318
ASXL2	FALSE	TRUE	HGNC:23805
ASXL3	FALSE	FALSE	HGNC:29357
ASZ1	FALSE	FALSE	HGNC:1350
ATAD2	FALSE	FALSE	HGNC:30123
ATAD3B	FALSE	FALSE	HGNC:24007
ATF1	TRUE	FALSE	HGNC:783
ATF7IP	FALSE	FALSE	HGNC:20092
ATG13	FALSE	FALSE	HGNC:29091
ATG14	FALSE	FALSE	HGNC:19962
ATG2A	FALSE	FALSE	HGNC:29028
ATG3	FALSE	FALSE	HGNC:20962
ATG4B	FALSE	FALSE	HGNC:20790
ATG7	FALSE	FALSE	HGNC:16935
ATM	FALSE	TRUE	HGNC:795
ATP10A	FALSE	FALSE	HGNC:13542
ATP10B	FALSE	FALSE	HGNC:13543
ATP10D	FALSE	FALSE	HGNC:13549
ATP13A4	FALSE	FALSE	HGNC:25422
ATP1A1	TRUE	TRUE	HGNC:799
ATP2A2	FALSE	FALSE	HGNC:812
ATP2B3	FALSE	TRUE	HGNC:816
ATP2C2	FALSE	FALSE	HGNC:29103
ATP4A	FALSE	FALSE	HGNC:819
ATP5F1B	FALSE	FALSE	HGNC:830
ATP5MPL	FALSE	FALSE	HGNC:1188
ATP5PD	FALSE	FALSE	HGNC:845
ATP6AP1	FALSE	FALSE	HGNC:868
ATP6V0B	FALSE	FALSE	HGNC:861
ATP6V0E1	FALSE	FALSE	HGNC:863
