Cancer	Gene_symbol	Ensembl_ID	Gene_biotype	ENTREZID	Onco_gene_OncoVar	P_value	FDR	OncoVar_Score	CGC	OncoKB	OncoVar	MutPanning	2020Rule	CTAT	HCD	Intogen	Oncogene	TSgene	CGCPointMut	FASMIC	MouseMut	PMID_29056346	PMID_29056346_collected_known	TCGA_papers	DriverDBv3	Therapeutic_target_in_PMID_30971826	Consensus_Score	Driver Level
PanCancer	ABL2	ENSG00000143322	protein_coding	27	Y	0.215491832781322	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	22	4
PanCancer	AKT3	ENSG00000117020	protein_coding	10000	Y	0.248400549266364	0.596573590279973	0.46618351258099	2	Oncogene	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	21	4
PanCancer	ARID1A	ENSG00000117713	protein_coding	8289	Y	0	0	1	1	TSG	Y	Y	TSG	TSG	Y	Y	N	Y	Y	N	Y	Y	Y	Y	Y	N	50	4
PanCancer	ARNT	ENSG00000143437	protein_coding	405	Y	0.0239608257554699	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	ATP1A1	ENSG00000163399	protein_coding	476	Y	0.0376459880041957	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	N	N	N	N	Y	N	Y	N	Y	Y	22	4
PanCancer	BCL10	ENSG00000142867	protein_coding	8915	Y	0.048250327064704	0.596573590279973	0.46618351258099	1	TSG	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	BCL9	ENSG00000266095	protein_coding	607	Y	0.401064402364428	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	BTG2	ENSG00000159388	protein_coding	7832	Y	0.0045818456878515	0.299875926108742	0.516350634544072	N	Y	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	CAMTA1	ENSG00000171735	protein_coding	23261	Y	0.237319357344506	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	CD58	ENSG00000116815	protein_coding	965	Y	0	0	1	N	TSG	Y	N	N	N	N	N	N	N	N	N	N	Y	Y	N	Y	N	22	4
PanCancer	CDC73	ENSG00000134371	protein_coding	79577	Y	0.0463482467874387	0.596573590279973	0.46618351258099	1	TSG	N	N	TSG	N	Y	Y	N	Y	N	N	N	N	Y	N	Y	N	25	4
PanCancer	CDKN2C	ENSG00000123080	protein_coding	1031	Y	0.0558119152672937	0.596573590279973	0.46618351258099	1	TSG	N	N	N	Pssible_TSG	Y	N	N	Y	N	N	N	N	Y	Y	Y	N	25	4
PanCancer	CSF3R	ENSG00000119535	protein_coding	1441	Y	0.354350560561528	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	Y	N	22	4
PanCancer	DDR2	ENSG00000162733	protein_coding	4921	Y	0.160724854702583	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	Y	N	22	4
PanCancer	ELF3	ENSG00000163435	protein_coding	1999	Y	0	0	1	2	Oncogene/TSG	Y	Y	N	Pssible_TSG	Y	Y	N	N	N	N	N	Y	Y	Y	Y	N	46	4
PanCancer	ELK4	ENSG00000158711	protein_coding	2005	Y	0.384442582929735	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	EPS15	ENSG00000085832	protein_coding	2060	Y	0.113157045427335	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	ERRFI1	ENSG00000116285	protein_coding	54206	Y	0.0303009622721925	0.596573590279973	0.46618351258099	N	TSG	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	FCGR2B	ENSG00000072694	protein_coding	2213	Y	0.00480581397696952	0.307632355516356	0.514487840224835	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	FCRL4	ENSG00000163518	protein_coding	83417	Y	0.44777872279089	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	FH	ENSG00000091483	protein_coding	2271	Y	0.343585348699648	0.596573590279973	0.46618351258099	1	TSG	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	21	4
PanCancer	FUBP1	ENSG00000162613	protein_coding	8880	Y	0	0	1	1	TSG	Y	Y	TSG	TSG	N	Y	Y	N	Y	N	Y	Y	Y	N	Y	Y	48	4
PanCancer	H3F3A	ENSG00000163041	protein_coding	3020	Y	0	0	1	1	Oncogene	Y	N	Oncogene	Pssible_Oncogene	N	N	N	N	Y	N	N	N	Y	N	N	N	34	4
PanCancer	ID3	ENSG00000117318	protein_coding	3399	Y	0	0	1	2	TSG	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	30	4
PanCancer	JAK1	ENSG00000162434	protein_coding	3716	Y	9.37277064777325e-05	0.0119619985392206	0.735819050138648	1	Oncogene/TSG	Y	N	Oncogene	TSG	N	N	Y	N	Y	N	N	Y	Y	N	Y	N	36	4
PanCancer	JUN	ENSG00000177606	protein_coding	3725	Y	0.0967543224959131	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	21	4
PanCancer	LCK	ENSG00000182866	protein_coding	3932	Y	0.366671754645613	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	LMNA	ENSG00000160789	protein_coding	4000	Y	0.284474057380409	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	MDM4	ENSG00000198625	protein_coding	4194	Y	0.418160324773003	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	21	4
PanCancer	MLLT11	ENSG00000213190	protein_coding	10962	Y	0.315037655784482	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	21	4
PanCancer	MPL	ENSG00000117400	protein_coding	4352	Y	0.550432076535963	0.596573590279973	0.46618351258099	1	Oncogene	N	N	Oncogene	N	N	N	Y	N	Y	N	N	N	Y	N	Y	N	24	4
PanCancer	MTOR	ENSG00000198793	protein_coding	2475	Y	0.00479168972539279	0.307632355516356	0.514487840224835	1	Oncogene	N	Y	N	Pssible_Oncogene	Y	Y	Y	N	N	N	N	Y	Y	Y	Y	Y	37	4
PanCancer	MUC1	ENSG00000185499	protein_coding	4582	Y	0.443129606204371	0.596573590279973	0.46618351258099	1	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	MUTYH	ENSG00000132781	protein_coding	4595	Y	0.265719974242309	0.596573590279973	0.46618351258099	1	TSG	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	20	4
PanCancer	MYCL	ENSG00000116990	protein_coding	4610	Y	0.375531376779449	0.596573590279973	0.46618351258099	1	Oncogene	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	21	4
PanCancer	NOTCH2	ENSG00000134250	protein_coding	4853	Y	0.00083828593618724	0.0781634649175499	0.612956296304716	1	Oncogene/TSG	N	Y	TSG	Y	N	Y	N	Y	Y	N	N	N	Y	N	Y	N	36	4
