ensembl_gene_symbol	ensembl_gene_id	hgnc_symbol	hgnc_id	refseq_gene_symbol	ncbi_gene_id	oncogene	tsgene
A1CF	ENSG00000148584.15	A1CF	HGNC:24086	A1CF	29974	TRUE	FALSE
ABCB1	ENSG00000085563.15	ABCB1	HGNC:40	ABCB1	5243	TRUE	FALSE
ABCB11	ENSG00000073734.10	ABCB11	HGNC:42	ABCB11	8647	NA	NA
ABI1	ENSG00000136754.18	ABI1	HGNC:11320	ABI1	10006	FALSE	TRUE
ABL1	ENSG00000097007.19	ABL1	HGNC:76	ABL1	25	TRUE	FALSE
ABL2	ENSG00000143322.21	ABL2	HGNC:77	ABL2	27	TRUE	FALSE
ABRAXAS1	ENSG00000163322.14	ABRAXAS1	HGNC:25829	ABRAXAS1	84142	FALSE	TRUE
ACD	ENSG00000102977.17	ACD	HGNC:25070	ACD	65057	FALSE	FALSE
ACKR3	ENSG00000144476.6	ACKR3	HGNC:23692	ACKR3	57007	TRUE	TRUE
ACSL3	ENSG00000123983.15	ACSL3	HGNC:3570	ACSL3	2181	FALSE	FALSE
ACSL6	ENSG00000164398.15	ACSL6	HGNC:16496	ACSL6	23305	FALSE	FALSE
ACTB	ENSG00000075624.17	ACTB	HGNC:132	ACTB	60	FALSE	FALSE
ACTG1	ENSG00000184009.13	ACTG1	HGNC:144	ACTG1	71	FALSE	TRUE
ACTG2	ENSG00000163017.14	ACTG2	HGNC:145	ACTG2	72	NA	NA
ACTN4	ENSG00000130402.13	ACTN4	HGNC:166	ACTN4	81	NA	NA
ACTRT1	ENSG00000123165.9	ACTRT1	HGNC:24027	ACTRT1	139741	NA	NA
ACVR1	ENSG00000115170.16	ACVR1	HGNC:171	ACVR1	90	TRUE	FALSE
ACVR1B	ENSG00000135503.13	ACVR1B	HGNC:172	ACVR1B	91	FALSE	TRUE
ACVR2A	ENSG00000121989.15	ACVR2A	HGNC:173	ACVR2A	92	FALSE	TRUE
ADAM10	ENSG00000137845.15	ADAM10	HGNC:188	ADAM10	102	FALSE	FALSE
ADAM30	ENSG00000134249.7	ADAM30	HGNC:208	ADAM30	11085	TRUE	FALSE
ADAMTS12	ENSG00000151388.11	ADAMTS12	HGNC:14605	ADAMTS12	81792	FALSE	FALSE
ADD3	ENSG00000148700.15	ADD3	HGNC:245	ADD3	120	FALSE	FALSE
ADGRA2	ENSG00000020181.18	ADGRA2	HGNC:17849	ADGRA2	25960	NA	NA
ADHFE1	ENSG00000147576.17	ADHFE1	HGNC:16354	ADHFE1	137872	TRUE	FALSE
ADM	ENSG00000148926.10	ADM	HGNC:259	ADM	133	NA	NA
AFDN	ENSG00000130396.21	AFDN	HGNC:7137	AFDN	4301	TRUE	FALSE
AFF1	ENSG00000172493.23	AFF1	HGNC:7135	AFF1	4299	TRUE	FALSE
AFF2	ENSG00000155966.14	AFF2	HGNC:3776	AFF2	2334	FALSE	FALSE
AFF3	ENSG00000144218.21	AFF3	HGNC:6473	AFF3	3899	TRUE	FALSE
AFF4	ENSG00000072364.13	AFF4	HGNC:17869	AFF4	27125	TRUE	FALSE
AGAP3	ENSG00000133612.19	AGAP3	HGNC:16923	AGAP3	116988	NA	NA
AGBL4	ENSG00000186094.18	AGBL4	HGNC:25892	AGBL4	84871	FALSE	TRUE
AGGF1	ENSG00000164252.13	AGGF1	HGNC:24684	AGGF1	55109	FALSE	FALSE
AGK	ENSG00000006530.18	AGK	HGNC:21869	AGK	55750	NA	NA
AGO1	ENSG00000092847.13	AGO1	HGNC:3262	AGO1	26523	TRUE	FALSE
AGO2	ENSG00000123908.12	AGO2	HGNC:3263	AGO2	27161	FALSE	FALSE
AGR2	ENSG00000106541.12	AGR2	HGNC:328	AGR2	10551	NA	NA
AHCYL1	ENSG00000168710.18	AHCYL1	HGNC:344	AHCYL1	10768	NA	NA
AHR	ENSG00000106546.14	AHR	HGNC:348	AHR	196	TRUE	TRUE
AHRR	ENSG00000063438.20	AHRR	HGNC:346	AHRR	57491	NA	NA
AIP	ENSG00000110711.11	AIP	HGNC:358	AIP	9049	FALSE	FALSE
AJUBA	ENSG00000129474.16	AJUBA	HGNC:20250	AJUBA	84962	FALSE	TRUE
AKAP9	ENSG00000127914.19	AKAP9	HGNC:379	AKAP9	10142	FALSE	FALSE
AKT1	ENSG00000142208.18	AKT1	HGNC:391	AKT1	207	TRUE	FALSE
AKT2	ENSG00000105221.18	AKT2	HGNC:392	AKT2	208	TRUE	FALSE
AKT3	ENSG00000117020.19	AKT3	HGNC:393	AKT3	10000	TRUE	FALSE
ALB	ENSG00000163631.17	ALB	HGNC:399	ALB	213	FALSE	FALSE
ALCAM	ENSG00000170017.12	ALCAM	HGNC:400	ALCAM	214	FALSE	FALSE
ALDH1A2	ENSG00000128918.15	ALDH1A2	HGNC:15472	ALDH1A2	8854	FALSE	FALSE
ALDH1L2	ENSG00000136010.14	ALDH1L2	HGNC:26777	ALDH1L2	160428	TRUE	FALSE
ALDH2	ENSG00000111275.13	ALDH2	HGNC:404	ALDH2	217	FALSE	TRUE
ALK	ENSG00000171094.18	ALK	HGNC:427	ALK	238	TRUE	FALSE
