hgnc_id	symbol	ensembl_gene_id	oncogene	tsgene
HGNC:24086	A1CF	ENSG00000148584	TRUE	FALSE
HGNC:40	ABCB1	ENSG00000085563	TRUE	FALSE
HGNC:11320	ABI1	ENSG00000136754	FALSE	TRUE
HGNC:76	ABL1	ENSG00000097007	TRUE	FALSE
HGNC:77	ABL2	ENSG00000143322	TRUE	FALSE
HGNC:25829	ABRAXAS1	ENSG00000163322	FALSE	TRUE
HGNC:23692	ACKR3	ENSG00000144476	TRUE	TRUE
HGNC:3570	ACSL3	ENSG00000123983	FALSE	FALSE
HGNC:16496	ACSL6	ENSG00000164398	FALSE	FALSE
HGNC:132	ACTB	ENSG00000075624	FALSE	FALSE
HGNC:144	ACTG1	ENSG00000184009	FALSE	TRUE
HGNC:171	ACVR1	ENSG00000115170	TRUE	FALSE
HGNC:172	ACVR1B	ENSG00000135503	FALSE	TRUE
HGNC:173	ACVR2A	ENSG00000121989	FALSE	TRUE
HGNC:188	ADAM10	ENSG00000137845	FALSE	FALSE
HGNC:208	ADAM30	ENSG00000134249	TRUE	FALSE
HGNC:14605	ADAMTS12	ENSG00000151388	FALSE	FALSE
HGNC:16354	ADHFE1	ENSG00000147576	TRUE	FALSE
HGNC:7137	AFDN	ENSG00000130396	TRUE	FALSE
HGNC:7135	AFF1	ENSG00000172493	TRUE	FALSE
HGNC:6473	AFF3	ENSG00000144218	TRUE	FALSE
HGNC:17869	AFF4	ENSG00000072364	TRUE	FALSE
HGNC:25892	AGBL4	ENSG00000186094	FALSE	TRUE
HGNC:3262	AGO1	ENSG00000092847	TRUE	FALSE
HGNC:3263	AGO2	ENSG00000123908	FALSE	FALSE
HGNC:20250	AJUBA	ENSG00000129474	FALSE	TRUE
HGNC:379	AKAP9	ENSG00000127914	FALSE	FALSE
HGNC:391	AKT1	ENSG00000142208	TRUE	FALSE
HGNC:392	AKT2	ENSG00000105221	TRUE	FALSE
HGNC:393	AKT3	ENSG00000117020	TRUE	FALSE
HGNC:399	ALB	ENSG00000163631	FALSE	FALSE
HGNC:400	ALCAM	ENSG00000170017	FALSE	FALSE
HGNC:15472	ALDH1A2	ENSG00000128918	FALSE	FALSE
HGNC:26777	ALDH1L2	ENSG00000136010	TRUE	FALSE
HGNC:404	ALDH2	ENSG00000111275	FALSE	TRUE
HGNC:427	ALK	ENSG00000171094	TRUE	FALSE
HGNC:429	ALOX12	ENSG00000108839	FALSE	FALSE
HGNC:430	ALOX12B	ENSG00000179477	TRUE	TRUE
HGNC:25990	AMBRA1	ENSG00000110497	FALSE	TRUE
HGNC:26837	AMER1	ENSG00000184675	FALSE	TRUE
HGNC:492	ANK1	ENSG00000029534	FALSE	FALSE
HGNC:21316	ANKRD11	ENSG00000167522	FALSE	TRUE
HGNC:14082	ANLN	ENSG00000011426	FALSE	FALSE
HGNC:583	APC	ENSG00000134982	FALSE	TRUE
HGNC:339	APLNR	ENSG00000134817	TRUE	TRUE
HGNC:603	APOB	ENSG00000084674	FALSE	FALSE
HGNC:17352	APOBEC3B	ENSG00000179750	TRUE	TRUE
HGNC:644	AR	ENSG00000169083	TRUE	FALSE
HGNC:646	ARAF	ENSG00000078061	TRUE	FALSE
HGNC:651	AREG	ENSG00000109321	FALSE	FALSE
HGNC:17073	ARHGAP26	ENSG00000145819	FALSE	TRUE
HGNC:4591	ARHGAP35	ENSG00000160007	TRUE	TRUE
HGNC:675	ARHGAP5	ENSG00000100852	TRUE	FALSE
HGNC:14103	ARHGEF10	ENSG00000104728	FALSE	TRUE
HGNC:25540	ARHGEF10L	ENSG00000074964	FALSE	TRUE
HGNC:14193	ARHGEF12	ENSG00000196914	TRUE	TRUE
HGNC:30322	ARHGEF28	ENSG00000214944	TRUE	FALSE
HGNC:11110	ARID1A	ENSG00000117713	FALSE	TRUE
HGNC:18040	ARID1B	ENSG00000049618	FALSE	TRUE
HGNC:18037	ARID2	ENSG00000189079	FALSE	TRUE
HGNC:3031	ARID3A	ENSG00000116017	FALSE	TRUE
HGNC:14350	ARID3B	ENSG00000179361	TRUE	FALSE
HGNC:21209	ARID3C	ENSG00000205143	FALSE	FALSE
HGNC:9885	ARID4A	ENSG00000032219	FALSE	TRUE
HGNC:15550	ARID4B	ENSG00000054267	FALSE	TRUE
HGNC:17361	ARID5A	ENSG00000196843	FALSE	FALSE
HGNC:17362	ARID5B	ENSG00000150347	FALSE	TRUE
HGNC:700	ARNT	ENSG00000143437	TRUE	TRUE
HGNC:738	ASCL1	ENSG00000139352	TRUE	FALSE
HGNC:19048	ASPM	ENSG00000066279	FALSE	FALSE
HGNC:13825	ASPSCR1	ENSG00000169696	FALSE	FALSE
HGNC:18318	ASXL1	ENSG00000171456	FALSE	TRUE
HGNC:23805	ASXL2	ENSG00000143970	FALSE	TRUE
HGNC:783	ATF1	ENSG00000123268	TRUE	FALSE
HGNC:20092	ATF7IP	ENSG00000171681	FALSE	FALSE
HGNC:16935	ATG7	ENSG00000197548	FALSE	FALSE
HGNC:794	ATIC	ENSG00000138363	FALSE	FALSE
HGNC:795	ATM	ENSG00000149311	FALSE	TRUE
HGNC:799	ATP1A1	ENSG00000163399	TRUE	TRUE
HGNC:816	ATP2B3	ENSG00000067842	FALSE	TRUE
HGNC:868	ATP6AP1	ENSG00000071553	FALSE	FALSE
HGNC:854	ATP6V1B2	ENSG00000147416	FALSE	TRUE
HGNC:882	ATR	ENSG00000175054	FALSE	TRUE
HGNC:33499	ATRIP	ENSG00000164053	FALSE	TRUE
HGNC:886	ATRX	ENSG00000085224	FALSE	TRUE
HGNC:10555	ATXN2	ENSG00000204842	FALSE	TRUE
HGNC:10560	ATXN7	ENSG00000163635	TRUE	FALSE
HGNC:11393	AURKA	ENSG00000087586	TRUE	FALSE
HGNC:11390	AURKB	ENSG00000178999	TRUE	FALSE
HGNC:903	AXIN1	ENSG00000103126	FALSE	TRUE
HGNC:904	AXIN2	ENSG00000168646	FALSE	TRUE
HGNC:905	AXL	ENSG00000167601	TRUE	FALSE
HGNC:914	B2M	ENSG00000166710	FALSE	TRUE
HGNC:14333	BAALC	ENSG00000164929	TRUE	FALSE
HGNC:25008	BABAM1	ENSG00000105393	FALSE	FALSE
HGNC:14078	BACH2	ENSG00000112182	FALSE	TRUE
HGNC:950	BAP1	ENSG00000163930	FALSE	TRUE
HGNC:952	BARD1	ENSG00000138376	FALSE	TRUE
HGNC:959	BAX	ENSG00000087088	TRUE	TRUE
HGNC:960	BAZ1A	ENSG00000198604	FALSE	TRUE
HGNC:17868	BBC3	ENSG00000105327	FALSE	TRUE
HGNC:989	BCL10	ENSG00000142867	FALSE	TRUE
HGNC:13221	BCL11A	ENSG00000119866	TRUE	FALSE
HGNC:13222	BCL11B	ENSG00000127152	FALSE	TRUE
HGNC:990	BCL2	ENSG00000171791	TRUE	FALSE
HGNC:992	BCL2L1	ENSG00000171552	FALSE	FALSE
HGNC:994	BCL2L11	ENSG00000153094	FALSE	TRUE
HGNC:13787	BCL2L12	ENSG00000126453	TRUE	FALSE
HGNC:998	BCL3	ENSG00000069399	TRUE	FALSE
HGNC:1001	BCL6	ENSG00000113916	TRUE	FALSE
HGNC:1004	BCL7A	ENSG00000110987	FALSE	TRUE
HGNC:1008	BCL9	ENSG00000116128	TRUE	FALSE
HGNC:23688	BCL9L	ENSG00000186174	TRUE	TRUE
HGNC:16863	BCLAF1	ENSG00000029363	FALSE	FALSE
HGNC:20893	BCOR	ENSG00000183337	FALSE	TRUE
HGNC:25657	BCORL1	ENSG00000085185	FALSE	TRUE
HGNC:1014	BCR	ENSG00000186716	TRUE	FALSE
HGNC:591	BIRC3	ENSG00000023445	FALSE	FALSE
HGNC:13516	BIRC6	ENSG00000115760	TRUE	FALSE
HGNC:1057	BLK	ENSG00000136573	FALSE	FALSE
HGNC:1058	BLM	ENSG00000197299	FALSE	TRUE
HGNC:1066	BMI1	ENSG00000168283	TRUE	FALSE
HGNC:1072	BMP5	ENSG00000112175	FALSE	FALSE
HGNC:1076	BMPR1A	ENSG00000107779	FALSE	TRUE
HGNC:1078	BMPR2	ENSG00000204217	FALSE	TRUE
HGNC:1097	BRAF	ENSG00000157764	TRUE	FALSE
HGNC:1100	BRCA1	ENSG00000012048	FALSE	TRUE
