hgnc_id	symbol	ensembl_gene_id	oncogene	tsgene
HGNC:40	ABCB1	ENSG00000085563	TRUE	FALSE
HGNC:11320	ABI1	ENSG00000136754	FALSE	TRUE
HGNC:76	ABL1	ENSG00000097007	TRUE	FALSE
HGNC:77	ABL2	ENSG00000143322	TRUE	FALSE
HGNC:25829	ABRAXAS1	ENSG00000163322	FALSE	TRUE
HGNC:3570	ACSL3	ENSG00000123983	FALSE	FALSE
HGNC:132	ACTB	ENSG00000075624	FALSE	FALSE
HGNC:171	ACVR1	ENSG00000115170	TRUE	FALSE
HGNC:172	ACVR1B	ENSG00000135503	FALSE	TRUE
HGNC:173	ACVR2A	ENSG00000121989	FALSE	TRUE
HGNC:7137	AFDN	ENSG00000130396	TRUE	FALSE
HGNC:7135	AFF1	ENSG00000172493	TRUE	FALSE
HGNC:6473	AFF3	ENSG00000144218	TRUE	FALSE
HGNC:17869	AFF4	ENSG00000072364	TRUE	FALSE
HGNC:20250	AJUBA	ENSG00000129474	FALSE	TRUE
HGNC:379	AKAP9	ENSG00000127914	FALSE	FALSE
HGNC:391	AKT1	ENSG00000142208	TRUE	FALSE
HGNC:392	AKT2	ENSG00000105221	TRUE	FALSE
HGNC:393	AKT3	ENSG00000117020	TRUE	FALSE
HGNC:399	ALB	ENSG00000163631	FALSE	FALSE
HGNC:404	ALDH2	ENSG00000111275	FALSE	TRUE
HGNC:427	ALK	ENSG00000171094	TRUE	FALSE
HGNC:430	ALOX12B	ENSG00000179477	TRUE	TRUE
HGNC:26837	AMER1	ENSG00000184675	FALSE	TRUE
HGNC:21316	ANKRD11	ENSG00000167522	FALSE	TRUE
HGNC:583	APC	ENSG00000134982	FALSE	TRUE
HGNC:17352	APOBEC3B	ENSG00000179750	TRUE	TRUE
HGNC:644	AR	ENSG00000169083	TRUE	FALSE
HGNC:646	ARAF	ENSG00000078061	TRUE	FALSE
HGNC:17073	ARHGAP26	ENSG00000145819	FALSE	TRUE
HGNC:4591	ARHGAP35	ENSG00000160007	TRUE	TRUE
HGNC:14193	ARHGEF12	ENSG00000196914	TRUE	TRUE
HGNC:11110	ARID1A	ENSG00000117713	FALSE	TRUE
HGNC:18040	ARID1B	ENSG00000049618	FALSE	TRUE
HGNC:18037	ARID2	ENSG00000189079	FALSE	TRUE
HGNC:17362	ARID5B	ENSG00000150347	FALSE	TRUE
HGNC:13825	ASPSCR1	ENSG00000169696	FALSE	FALSE
HGNC:18318	ASXL1	ENSG00000171456	FALSE	TRUE
HGNC:23805	ASXL2	ENSG00000143970	FALSE	TRUE
HGNC:783	ATF1	ENSG00000123268	TRUE	FALSE
HGNC:20092	ATF7IP	ENSG00000171681	FALSE	FALSE
HGNC:794	ATIC	ENSG00000138363	FALSE	FALSE
HGNC:795	ATM	ENSG00000149311	FALSE	TRUE
HGNC:882	ATR	ENSG00000175054	FALSE	TRUE
HGNC:886	ATRX	ENSG00000085224	FALSE	TRUE
HGNC:11393	AURKA	ENSG00000087586	TRUE	FALSE
HGNC:11390	AURKB	ENSG00000178999	TRUE	FALSE
HGNC:903	AXIN1	ENSG00000103126	FALSE	TRUE
HGNC:904	AXIN2	ENSG00000168646	FALSE	TRUE
HGNC:905	AXL	ENSG00000167601	TRUE	FALSE
HGNC:914	B2M	ENSG00000166710	FALSE	TRUE
HGNC:950	BAP1	ENSG00000163930	FALSE	TRUE
HGNC:952	BARD1	ENSG00000138376	FALSE	TRUE
HGNC:959	BAX	ENSG00000087088	TRUE	TRUE
HGNC:17868	BBC3	ENSG00000105327	FALSE	TRUE
HGNC:989	BCL10	ENSG00000142867	FALSE	TRUE
HGNC:13222	BCL11B	ENSG00000127152	FALSE	TRUE
