gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
ABCB1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ABI1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ABI2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ABL1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ABL2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ABRAXAS1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ACSL3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ACTA2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ACTB	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ACVR1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ACVR1B	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ACVR2A	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
AFDN	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
AFF1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
AFF3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
AFF4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
AHCYL1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
AIP	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
AJUBA	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
AKAP9	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
AKT1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
AKT2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
AKT3	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ALB	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
ALDH2	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
ALK	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
