ensembl_gene_symbol	ensembl_gene_id	hgnc_id	ncbi_gene_id
A1CF	ENSG00000148584.15	HGNC:24086	29974
ACKR3	ENSG00000144476.6	HGNC:23692	57007
ACSL6	ENSG00000164398.15	HGNC:16496	23305
ACTG1	ENSG00000184009.13	HGNC:144	71
ADAM10	ENSG00000137845.15	HGNC:188	102
ADAM30	ENSG00000134249.7	HGNC:208	11085
ADAMTS12	ENSG00000151388.11	HGNC:14605	81792
ADHFE1	ENSG00000147576.17	HGNC:16354	137872
AGBL4	ENSG00000186094.18	HGNC:25892	84871
AGO1	ENSG00000092847.13	HGNC:3262	26523
AGO2	ENSG00000123908.12	HGNC:3263	27161
ALCAM	ENSG00000170017.12	HGNC:400	214
ALDH1A2	ENSG00000128918.15	HGNC:15472	8854
ALDH1L2	ENSG00000136010.14	HGNC:26777	160428
ALOX12	ENSG00000108839.12	HGNC:429	239
AMBRA1	ENSG00000110497.15	HGNC:25990	55626
ANK1	ENSG00000029534.21	HGNC:492	286
ANLN	ENSG00000011426.11	HGNC:14082	54443
APLNR	ENSG00000134817.12	HGNC:339	187
APOB	ENSG00000084674.15	HGNC:603	338
AREG	ENSG00000109321.11	HGNC:651	374
ARHGAP5	ENSG00000100852.14	HGNC:675	394
ARHGEF10	ENSG00000104728.16	HGNC:14103	9639
ARHGEF10L	ENSG00000074964.17	HGNC:25540	55160
ARHGEF28	ENSG00000214944.10	HGNC:30322	64283
ARID3A	ENSG00000116017.11	HGNC:3031	1820
ARID3B	ENSG00000179361.18	HGNC:14350	10620
ARID3C	ENSG00000205143.4	HGNC:21209	138715
ARID4A	ENSG00000032219.19	HGNC:9885	5926
ARID4B	ENSG00000054267.22	HGNC:15550	51742
ARID5A	ENSG00000196843.17	HGNC:17361	10865
ARNT	ENSG00000143437.21	HGNC:700	405
ASCL1	ENSG00000139352.4	HGNC:738	429
ASPM	ENSG00000066279.19	HGNC:19048	259266
ATG7	ENSG00000197548.13	HGNC:16935	10533
ATP1A1	ENSG00000163399.16	HGNC:799	476
ATP2B3	ENSG00000067842.18	HGNC:816	492
ATP6AP1	ENSG00000071553.18	HGNC:868	537
ATP6V1B2	ENSG00000147416.11	HGNC:854	526
ATRIP	ENSG00000164053.22	HGNC:33499	84126
ATXN2	ENSG00000204842.18	HGNC:10555	6311
ATXN7	ENSG00000163635.20	HGNC:10560	6314
BAALC	ENSG00000164929.17	HGNC:14333	79870
BABAM1	ENSG00000105393.16	HGNC:25008	29086
BACH2	ENSG00000112182.15	HGNC:14078	60468
BAZ1A	ENSG00000198604.11	HGNC:960	11177
BCL11A	ENSG00000119866.22	HGNC:13221	53335
BCL2L12	ENSG00000126453.10	HGNC:13787	83596
BCL3	ENSG00000069399.15	HGNC:998	602
BCL7A	ENSG00000110987.9	HGNC:1004	605
BCL9L	ENSG00000186174.13	HGNC:23688	283149
BCLAF1	ENSG00000029363.17	HGNC:16863	9774
BIRC6	ENSG00000115760.15	HGNC:13516	57448
