hgnc_id	gene_id	symbol	contig	start	end	strand
HGNC:37102	100287102	DDX11L1	chr1	11874	14409	+
HGNC:38034	653635	WASH7P	chr1	14362	29370	-
HGNC:50039	102466751	MIR6859-1	chr1	17369	17436	-
HGNC:52482	107985730	MIR1302-2HG	chr1	29774	35418	+
HGNC:35294	100302278	MIR1302-2	chr1	30366	30503	+
HGNC:32334	645520	FAM138A	chr1	34611	36081	-
HGNC:14822	79504	OR4G4P	chr1	52453	53396	+
HGNC:31276	403263	OR4G11P	chr1	63016	63885	+
HGNC:14825	79501	OR4F5	chr1	65419	71585	+
NA	124903816	LOC124903816	chr1	95222	107727	+
NA	124900384	LOC124900384	chr1	120849	175246	-
HGNC:51705	107126284	SEPTIN14P18	chr1	126642	129225	-
HGNC:48835	100420257	CICP27	chr1	131068	134836	+
NA	729737	LOC729737	chr1	134773	140566	-
HGNC:48063	106480049	RNU6-1100P	chr1	157784	157887	-
HGNC:51722	107403151	GTF2IP10	chr1	164689	164792	+
NA	124903814	LOC124903814	chr1	177308	180105	-
HGNC:55080	102725121	DDX11L17	chr1	182388	184878	+
NA	100996442	LOC100996442	chr1	184916	200117	-
HGNC:35827	728481	RPL23AP21	chr1	258511	259036	-
NA	124903815	LOC124903815	chr1	273223	284291	+
HGNC:36176	728517	RPL23AP24	chr1	347969	348441	-
NA	124900618	LOC124900618	chr1	350706	358545	-
NA	112268260	LOC112268260	chr1	365134	382235	-
HGNC:43955	106479030	WBP1LP7	chr1	439764	440270	+
HGNC:31275	729759	OR4F29	chr1	450740	451678	-
HGNC:51700	106481733	SEPTIN14P13	chr1	484833	485210	-
HGNC:37756	100288667	CICP7	chr1	487055	490819	+
NA	100132287	LOC100132287	chr1	490756	495445	-
NA	124904706	LOC124904706	chr1	516376	516479	-
NA	105378947	LOC105378947	chr1	586287	611297	-
NA	101928626	LOC101928626	chr1	627380	629009	-
HGNC:42092	100887749	MTND1P23	chr1	629062	629440	+
HGNC:42129	100652939	MTND2P28	chr1	629640	630686	+
HGNC:52014	107075141	MTCO1P12	chr1	631074	632616	+
HGNC:54043	113219467	MIR12136	chr1	632615	632685	-
HGNC:52028	107075310	MTCO2P12	chr1	632757	633438	+
HGNC:44571	106480795	MTATP8P1	chr1	633535	633741	+
HGNC:44575	106480796	MTATP6P1	chr1	633696	634376	+
HGNC:52042	107075270	MTCO3P12	chr1	634376	634922	+
HGNC:43956	106481797	WBP1LP6	chr1	674743	675246	+
HGNC:15079	81399	OR4F16	chr1	676076	720101	-
HGNC:51701	107105354	SEPTIN14P14	chr1	717621	720202	-
HGNC:37742	100132630	CICP3	chr1	722046	725822	+
NA	100288069	LOC100288069	chr1	725759	778634	-
HGNC:48162	106480091	RNU6-1199P	chr1	758233	758336	-
HGNC:50701	105378580	LINC01409	chr1	778758	787675	+
NA	124903817	LOC124903817	chr1	791598	799081	+
HGNC:32236	400728	FAM87B	chr1	817371	819834	+
HGNC:26211	79854	LINC00115	chr1	826206	827522	-
HGNC:49377	643837	LINC01128	chr1	827591	859446	+
NA	107984850	LOC107984850	chr1	860182	868202	+
HGNC:27635	284593	FAM41C	chr1	868071	876802	-
HGNC:32337	388579	TUBB8P11	chr1	873291	874514	+
NA	284600	LOC284600	chr1	904811	921019	+
HGNC:53933	100130417	LINC02593	chr1	916818	919692	-
NA	107985728	LOC107985728	chr1	920243	925604	-
HGNC:28706	148398	SAMD11	chr1	923923	944574	+
HGNC:24517	26155	NOC2L	chr1	944203	959256	-
HGNC:24023	339451	KLHL17	chr1	960584	965719	+
HGNC:25284	84069	PLEKHN1	chr1	966482	975865	+
HGNC:28208	84808	PERM1	chr1	975198	982093	-
HGNC:24149	57801	HES4	chr1	998964	1000097	-
HGNC:36166	100270829	RPL39P12	chr1	1008060	1008290	-
HGNC:4053	9636	ISG15	chr1	1013497	1014540	+
HGNC:329	375790	AGRN	chr1	1020120	1056116	+
NA	100288175	LOC100288175	chr1	1059734	1066453	+
NA	105378948	LOC105378948	chr1	1065635	1069337	-
