symbol	ensembl_gene_id	name	hgnc_id
A1BG	ENSG00000121410.12	alpha-1-B glycoprotein	HGNC:5
A1CF	ENSG00000148584.15	APOBEC1 complementation factor	HGNC:24086
A2M	ENSG00000175899.15	alpha-2-macroglobulin	HGNC:7
A2ML1	ENSG00000166535.20	alpha-2-macroglobulin like 1	HGNC:23336
A3GALT2	ENSG00000184389.9	alpha 1,3-galactosyltransferase 2	HGNC:30005
A4GALT	ENSG00000128274.17	alpha 1,4-galactosyltransferase (P blood group)	HGNC:18149
A4GNT	ENSG00000118017.4	alpha-1,4-N-acetylglucosaminyltransferase	HGNC:17968
AAAS	ENSG00000094914.14	aladin WD repeat nucleoporin	HGNC:13666
AACS	ENSG00000081760.17	acetoacetyl-CoA synthetase	HGNC:21298
AADAC	ENSG00000114771.14	arylacetamide deacetylase	HGNC:17
AADACL2	ENSG00000197953.6	arylacetamide deacetylase like 2	HGNC:24427
AADACL3	ENSG00000188984.12	arylacetamide deacetylase like 3	HGNC:32037
AADACL4	ENSG00000204518.3	arylacetamide deacetylase like 4	HGNC:32038
AADAT	ENSG00000109576.14	aminoadipate aminotransferase	HGNC:17929
AAGAB	ENSG00000103591.13	alpha and gamma adaptin binding protein	HGNC:25662
AAK1	ENSG00000115977.21	AP2 associated kinase 1	HGNC:19679
AAMDC	ENSG00000087884.15	adipogenesis associated Mth938 domain containing	HGNC:30205
AAMP	ENSG00000127837.10	angio associated migratory cell protein	HGNC:18
AANAT	ENSG00000129673.10	aralkylamine N-acetyltransferase	HGNC:19
AAR2	ENSG00000131043.13	AAR2 splicing factor	HGNC:15886
AARD	ENSG00000205002.4	alanine and arginine rich domain containing protein	HGNC:33842
AARS1	ENSG00000090861.17	alanyl-tRNA synthetase 1	HGNC:20
AARS2	ENSG00000124608.5	alanyl-tRNA synthetase 2, mitochondrial	HGNC:21022
AARSD1	ENSG00000266967.7	alanyl-tRNA synthetase domain containing 1	HGNC:28417
AASDH	ENSG00000157426.14	aminoadipate-semialdehyde dehydrogenase	HGNC:23993
AASDHPPT	ENSG00000149313.11	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	HGNC:14235
AASS	ENSG00000008311.16	aminoadipate-semialdehyde synthase	HGNC:17366
AATF	ENSG00000275700.6	apoptosis antagonizing transcription factor	HGNC:19235
AATK	ENSG00000181409.14	apoptosis associated tyrosine kinase	HGNC:21
ABAT	ENSG00000183044.12	4-aminobutyrate aminotransferase	HGNC:23
ABCA1	ENSG00000165029.17	ATP binding cassette subfamily A member 1	HGNC:29
ABCA10	ENSG00000154263.18	ATP binding cassette subfamily A member 10	HGNC:30
ABCA12	ENSG00000144452.15	ATP binding cassette subfamily A member 12	HGNC:14637
ABCA13	ENSG00000179869.15	ATP binding cassette subfamily A member 13	HGNC:14638
ABCA2	ENSG00000107331.18	ATP binding cassette subfamily A member 2	HGNC:32
ABCA3	ENSG00000167972.14	ATP binding cassette subfamily A member 3	HGNC:33
ABCA4	ENSG00000198691.14	ATP binding cassette subfamily A member 4	HGNC:34
ABCA5	ENSG00000154265.16	ATP binding cassette subfamily A member 5	HGNC:35
ABCA6	ENSG00000154262.13	ATP binding cassette subfamily A member 6	HGNC:36
ABCA7	ENSG00000064687.13	ATP binding cassette subfamily A member 7	HGNC:37
ABCA8	ENSG00000141338.15	ATP binding cassette subfamily A member 8	HGNC:38
ABCA9	ENSG00000154258.17	ATP binding cassette subfamily A member 9	HGNC:39
ABCB1	ENSG00000085563.15	ATP binding cassette subfamily B member 1	HGNC:40
ABCB10	ENSG00000135776.5	ATP binding cassette subfamily B member 10	HGNC:41
ABCB11	ENSG00000073734.10	ATP binding cassette subfamily B member 11	HGNC:42
ABCB4	ENSG00000005471.19	ATP binding cassette subfamily B member 4	HGNC:45
ABCB5	ENSG00000004846.17	ATP binding cassette subfamily B member 5	HGNC:46
ABCB6	ENSG00000115657.14	ATP binding cassette subfamily B member 6 (Langereis blood group)	HGNC:47
ABCB7	ENSG00000131269.19	ATP binding cassette subfamily B member 7	HGNC:48
ABCB8	ENSG00000197150.13	ATP binding cassette subfamily B member 8	HGNC:49
ABCB9	ENSG00000150967.19	ATP binding cassette subfamily B member 9	HGNC:50
ABCC1	ENSG00000103222.20	ATP binding cassette subfamily C member 1	HGNC:51
ABCC10	ENSG00000124574.15	ATP binding cassette subfamily C member 10	HGNC:52
ABCC11	ENSG00000121270.16	ATP binding cassette subfamily C member 11	HGNC:14639
ABCC12	ENSG00000140798.17	ATP binding cassette subfamily C member 12	HGNC:14640
ABCC2	ENSG00000023839.12	ATP binding cassette subfamily C member 2	HGNC:53
ABCC3	ENSG00000108846.16	ATP binding cassette subfamily C member 3	HGNC:54
ABCC4	ENSG00000125257.16	ATP binding cassette subfamily C member 4	HGNC:55
ABCC5	ENSG00000114770.17	ATP binding cassette subfamily C member 5	HGNC:56
ABCC6	ENSG00000091262.17	ATP binding cassette subfamily C member 6	HGNC:57
ABCC8	ENSG00000006071.16	ATP binding cassette subfamily C member 8	HGNC:59
ABCC9	ENSG00000069431.14	ATP binding cassette subfamily C member 9	HGNC:60
ABCD1	ENSG00000101986.12	ATP binding cassette subfamily D member 1	HGNC:61
ABCD2	ENSG00000173208.4	ATP binding cassette subfamily D member 2	HGNC:66
ABCD3	ENSG00000117528.14	ATP binding cassette subfamily D member 3	HGNC:67
ABCD4	ENSG00000119688.21	ATP binding cassette subfamily D member 4	HGNC:68
