row	symbol	prevSymbols	synonyms	name	refSeqName	hgnc_id
1	NKX2-2	NKX2B	NKX2.2	NK2 homeobox 2	NKX2-2	HGNC:7835
2	MEN1	NA	NA	menin 1	MEN1	HGNC:7010
3	FYN	NA	SYN,SLK,MGC45350	FYN proto-oncogene, Src family tyrosine kinase	FYN	HGNC:4037
4	PTPRE	NA	PTPE	protein tyrosine phosphatase, receptor type E	PTPRE	HGNC:9669
5	PEAR1	MEGF12	JEDI,FLJ00193	platelet endothelial aggregation receptor 1	PEAR1	HGNC:33631
6	PDS5B	APRIN	AS3,KIAA0979,FLJ23236,CG008	PDS5 cohesin associated factor B	PDS5B	HGNC:20418
7	MAPK8	PRKM8	JNK,JNK1,SAPK1	mitogen-activated protein kinase 8	MAPK8	HGNC:6881
8	KLHL10	NA	FLJ32662	kelch like family member 10	KLHL10	HGNC:18829
9	HNRNPD	AUF1,HNRPD	NA	heterogeneous nuclear ribonucleoprotein D	HNRNPD	HGNC:5036
10	FGFR3	ACH	CEK2,JTK4,CD333	fibroblast growth factor receptor 3	FGFR3	HGNC:3690
11	MALAT1	NA	PRO1073,MALAT-1,NCRNA00047,HCN,NEAT2,LINC00047,MASCRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	MALAT1	HGNC:29665
12	VHL	NA	VHL1	von Hippel-Lindau tumor suppressor	VHL	HGNC:12687
13	ALK	NA	CD246	ALK receptor tyrosine kinase	ALK	HGNC:427
14	MUC2	NA	NA	mucin 2, oligomeric mucus/gel-forming	MUC2	HGNC:7512
15	EPHA2	ECK	NA	EPH receptor A2	EPHA2	HGNC:3386
16	CIRBP	NA	CIRP	cold inducible RNA binding protein	CIRBP	HGNC:1982
17	THRSP	LPGP1	SPOT14,LPGP,S14,THRP	thyroid hormone responsive	THRSP	HGNC:11800
18	EPS15	NA	AF-1P,MLLT5	epidermal growth factor receptor pathway substrate 15	EPS15	HGNC:3419
19	TPK1	NA	HTPK1,PP20	thiamin pyrophosphokinase 1	TPK1	HGNC:17358
20	ARID5A	NA	MRF-1,RP11-363D14	AT-rich interaction domain 5A	ARID5A	HGNC:17361
21	KIAA1549	NA	NA	KIAA1549	KIAA1549	HGNC:22219
22	WISP2	NA	CCN5	WNT1 inducible signaling pathway protein 2	WISP2	HGNC:12770
23	LTBR	D12S370	TNFCR,TNFR-RP,TNFR2-RP,TNF-R-III,TNFRSF3	lymphotoxin beta receptor	LTBR	HGNC:6718
24	OSBPL3	OSBP3	ORP-3,ORP3,KIAA0704	oxysterol binding protein like 3	OSBPL3	HGNC:16370
25	CALCR	NA	CTR	calcitonin receptor	CALCR	HGNC:1440
26	LRRC25	NA	MAPA,FLJ38116	leucine rich repeat containing 25	LRRC25	HGNC:29806
27	PHLPP1	PLEKHE1,PHLPP	KIAA0606,SCOP,PPM3A	PH domain and leucine rich repeat protein phosphatase 1	PHLPP1	HGNC:20610
28	ASXL1	NA	KIAA0978	additional sex combs like 1, transcriptional regulator	ASXL1	HGNC:18318
29	CADPS2	NA	CAPS2	calcium dependent secretion activator 2	CADPS2	HGNC:16018
30	GAS6	AXLLG	AXSF,FLJ34709,DKFZP666G247	growth arrest specific 6	GAS6	HGNC:4168
31	CDKN1A	CDKN1	P21,CIP1,WAF1,SDI1,CAP20,P21CIP1,P21CIP1/WAF1	cyclin dependent kinase inhibitor 1A	CDKN1A	HGNC:1784
32	ESRRA	ESRL1	ERR1,ERRALPHA,NR3B1,ERRA	estrogen related receptor alpha	ESRRA	HGNC:3471
33	TRAF3	NA	CAP-1,CD40BP,CRAF1,LAP1,RNF118	TNF receptor associated factor 3	TRAF3	HGNC:12033
34	BBC3	NA	JFY1,PUMA	BCL2 binding component 3	BBC3	HGNC:17868
35	CTNNB1	CTNNB	BETA-CATENIN,ARMADILLO	catenin beta 1	CTNNB1	HGNC:2514
36	JAK2	NA	JTK10	Janus kinase 2	JAK2	HGNC:6192
37	S100P	NA	NA	S100 calcium binding protein P	S100P	HGNC:10504
38	CSNK1A1	NA	CK1,CK1A,CK1ALPHA,CKIA,CKIALPHA	casein kinase 1 alpha 1	CSNK1A1	HGNC:2451
39	PIAS3	NA	FLJ14651,ZMIZ5	protein inhibitor of activated STAT 3	PIAS3	HGNC:16861
40	CRKL	NA	NA	CRK like proto-oncogene, adaptor protein	CRKL	HGNC:2363
41	FRAT1	NA	NA	FRAT1, WNT signaling pathway regulator	FRAT1	HGNC:3944
42	RASA1	RASA	GAP,CM-AVM,P120GAP,P120RASGAP,P120	RAS p21 protein activator 1	RASA1	HGNC:9871
43	LATS2	NA	NA	large tumor suppressor kinase 2	LATS2	HGNC:6515
44	HOXD11	HOX4,HOX4F	NA	homeobox D11	HOXD11	HGNC:5134
45	SUFU	NA	SUFUH,SUFUXL,PRO1280	SUFU negative regulator of hedgehog signaling	SUFU	HGNC:16466
46	ATRX	RAD54,JMS,MRX52	XH2,XNP	ATRX, chromatin remodeler	ATRX	HGNC:886
47	CCND3	NA	NA	cyclin D3	CCND3	HGNC:1585
48	TTL	NA	MGC46235	tubulin tyrosine ligase	TTL	HGNC:21586
49	AHI1	NA	FLJ20069,ORF1,JBTS3	Abelson helper integration site 1	AHI1	HGNC:21575
50	TAP1	ABCB2	PSF1,RING4,D6S114E	transporter 1, ATP binding cassette subfamily B member	TAP1	HGNC:43
51	VGF	NA	SCG7,SGVII	VGF nerve growth factor inducible	VGF	HGNC:12684
52	SDC4	NA	SYND4,AMPHIGLYCAN,RYUDOCAN	syndecan 4	SDC4	HGNC:10661
53	FMNL3	NA	DKFZP762B245,MGC45819,WBP3	formin like 3	FMNL3	HGNC:23698
54	CRYAA	CRYA1	HSPB4	crystallin alpha A	CRYAA	HGNC:2388
55	MAP3K8	COT,ESTF	TPL-2,EST,C-COT,MEKK8	mitogen-activated protein kinase kinase kinase 8	MAP3K8	HGNC:6860
56	CXCL2	GRO2	SCYB2,GROB,MIP-2A,MGSA-B,CINC-2A	C-X-C motif chemokine ligand 2	CXCL2	HGNC:4603
57	MDK	NEGF2	MK,FLJ27379	midkine	MDK	HGNC:6972
