hgnc_id	ensembl_gene_id	symbol	ensembl_transcript_id	contig	start	end	strand
HGNC:37102	ENSG00000223972.5	DDX11L1		chr1	11869	14409	+
HGNC:38034	ENSG00000227232.5	WASH7P		chr1	14404	29570	-
HGNC:50039	ENSG00000278267.1	MIR6859-1		chr1	17369	17436	-
HGNC:52482	ENSG00000243485.5	MIR1302-2HG		chr1	29554	31109	+
HGNC:35294	ENSG00000284332.1	MIR1302-2		chr1	30366	30503	+
HGNC:32334	ENSG00000237613.2	FAM138A		chr1	34554	36081	-
HGNC:14822	ENSG00000268020.3	OR4G4P		chr1	52473	53312	+
HGNC:31276	ENSG00000240361.2	OR4G11P		chr1	57598	64116	+
HGNC:14825	ENSG00000186092.7	OR4F5	ENST00000641515.2	chr1	65419	71585	+
HGNC:48835	ENSG00000233750.3	CICP27		chr1	131025	134836	+
HGNC:48063	ENSG00000222623.1	RNU6-1100P		chr1	157784	157887	-
HGNC:55080	ENSG00000279928.2	DDX11L17		chr1	182696	184174	+
HGNC:53981	ENSG00000279457.4	WASH9P		chr1	185217	195411	-
HGNC:49954	ENSG00000273874.1	MIR6859-2		chr1	187891	187958	-
HGNC:36176	ENSG00000236679.2	RPL23AP24		chr1	347982	348366	-
HGNC:43955	ENSG00000269732.1	WBP1LP7		chr1	439870	440232	+
HGNC:31275	ENSG00000284733.2	OR4F29	ENST00000426406.4	chr1	450740	451678	-
HGNC:37756	ENSG00000233653.3	CICP7		chr1	487101	489906	+
HGNC:42092	ENSG00000225972.1	MTND1P23		chr1	629062	629433	+
HGNC:42129	ENSG00000225630.1	MTND2P28		chr1	629640	630683	+
HGNC:52014	ENSG00000237973.1	MTCO1P12		chr1	631074	632616	+
HGNC:52028	ENSG00000229344.1	MTCO2P12		chr1	632757	633438	+
HGNC:44571	ENSG00000240409.1	MTATP8P1		chr1	633535	633741	+
HGNC:44575	ENSG00000248527.1	MTATP6P1		chr1	633696	634376	+
HGNC:52042	ENSG00000198744.5	MTCO3P12		chr1	634376	634922	+
HGNC:43956	ENSG00000268663.1	WBP1LP6		chr1	674842	675265	+
HGNC:15079	ENSG00000284662.2	OR4F16	ENST00000332831.5	chr1	685716	686654	-
HGNC:37742	ENSG00000229376.3	CICP3		chr1	722092	724903	+
HGNC:48162	ENSG00000223181.1	RNU6-1199P		chr1	758233	758336	-
HGNC:50701	ENSG00000237491.10	LINC01409		chr1	778747	810065	+
HGNC:32236	ENSG00000177757.2	FAM87B		chr1	817371	819837	+
HGNC:49377	ENSG00000228794.11	LINC01128		chr1	825138	859446	+
HGNC:26211	ENSG00000225880.5	LINC00115		chr1	826206	827522	-
HGNC:27635	ENSG00000230368.2	FAM41C		chr1	868071	876903	-
HGNC:32337	ENSG00000234711.1	TUBB8P11		chr1	873292	874349	+
HGNC:53933	ENSG00000223764.2	LINC02593		chr1	916865	921016	-
HGNC:28706	ENSG00000187634.13	SAMD11	ENST00000616016.5	chr1	923923	944575	+
HGNC:24517	ENSG00000188976.11	NOC2L	ENST00000327044.7	chr1	944203	959309	-
HGNC:24023	ENSG00000187961.15	KLHL17	ENST00000338591.8	chr1	960584	965719	+
HGNC:25284	ENSG00000187583.11	PLEKHN1	ENST00000379410.8	chr1	966482	975865	+
HGNC:28208	ENSG00000187642.9	PERM1	ENST00000433179.3	chr1	975204	982093	-
HGNC:24149	ENSG00000188290.11	HES4	ENST00000304952.11	chr1	998962	1000172	-
HGNC:4053	ENSG00000187608.10	ISG15	ENST00000649529.1	chr1	1001138	1014540	+
HGNC:329	ENSG00000188157.15	AGRN	ENST00000379370.7	chr1	1020120	1056118	+
HGNC:40020	ENSG00000237330.3	RNF223	ENST00000453464.3	chr1	1070967	1074306	-
HGNC:26062	ENSG00000131591.18	C1orf159	ENST00000421241.7	chr1	1081818	1116361	-
HGNC:50551	ENSG00000223823.1	LINC01342		chr1	1137017	1144056	+
HGNC:31579	ENSG00000207730.3	MIR200B		chr1	1167104	1167198	+
HGNC:31578	ENSG00000207607.3	MIR200A		chr1	1167863	1167952	+
HGNC:13784	ENSG00000198976.1	MIR429		chr1	1169005	1169087	+
HGNC:41159	ENSG00000205231.1	TTLL10-AS1		chr1	1173056	1179555	-
HGNC:26693	ENSG00000162571.14	TTLL10	ENST00000379289.6	chr1	1173880	1197936	+
HGNC:11914	ENSG00000186891.14	TNFRSF18	ENST00000379268.7	chr1	1203508	1206592	-
HGNC:11918	ENSG00000186827.11	TNFRSF4	ENST00000379236.4	chr1	1211340	1214153	-
HGNC:24188	ENSG00000078808.19	SDF4	ENST00000360001.12	chr1	1216909	1232067	-
HGNC:17978	ENSG00000176022.7	B3GALT6	ENST00000379198.5	chr1	1232237	1235041	+
HGNC:32308	ENSG00000184163.3	C1QTNF12	ENST00000330388.2	chr1	1242446	1246722	-
HGNC:19268	ENSG00000160087.21	UBE2J2	ENST00000349431.11	chr1	1253909	1273864	-
HGNC:52575	ENSG00000230415.1	LINC01786		chr1	1275223	1280420	+
HGNC:10601	ENSG00000162572.21	SCNN1D	ENST00000379116.10	chr1	1280436	1292029	+
HGNC:16754	ENSG00000131584.19	ACAP3	ENST00000354700.10	chr1	1292390	1309609	-
HGNC:50009	ENSG00000278073.1	MIR6726		chr1	1296110	1296170	-
HGNC:26914	ENSG00000169972.12	PUSL1	ENST00000379031.10	chr1	1308597	1311677	+
HGNC:26052	ENSG00000127054.22	INTS11	ENST00000435064.6	chr1	1311585	1324687	-
HGNC:50171	ENSG00000283712.1	MIR6727		chr1	1312502	1312566	-
HGNC:28116	ENSG00000224051.7	CPTP	ENST00000343938.9	chr1	1324756	1328896	+
HGNC:15661	ENSG00000169962.5	TAS1R3	ENST00000339381.6	chr1	1331280	1335314	+
HGNC:3084	ENSG00000107404.21	DVL1	ENST00000378888.10	chr1	1335276	1349418	-
HGNC:50046	ENSG00000284372.1	MIR6808		chr1	1339650	1339708	-
HGNC:7542	ENSG00000162576.17	MXRA8	ENST00000309212.11	chr1	1352689	1361777	-
HGNC:24114	ENSG00000175756.14	AURKAIP1	ENST00000338338.10	chr1	1373730	1375207	-
HGNC:45256	ENSG00000223663.2	NDUFB4P8		chr1	1378666	1379032	+
HGNC:20570	ENSG00000221978.13	CCNL2	ENST00000400809.8	chr1	1385711	1399335	-
HGNC:27125	ENSG00000224870.8	MRPL20-AS1		chr1	1399515	1402046	+
HGNC:14478	ENSG00000242485.6	MRPL20	ENST00000344843.12	chr1	1401909	1407293	-
HGNC:46673	ENSG00000264293.2	RN7SL657P		chr1	1405460	1405752	-
HGNC:54814	ENSG00000272455.1	MRPL20-DT		chr1	1409096	1410618	+
HGNC:42950	ENSG00000235098.9	ANKRD65	ENST00000537107.6	chr1	1418420	1421769	-
HGNC:37099	ENSG00000205116.4	TMEM88B	ENST00000378821.4	chr1	1425871	1430255	+
HGNC:52560	ENSG00000225285.1	LINC01770		chr1	1430539	1434573	-
HGNC:30910	ENSG00000179403.12	VWA1	ENST00000476993.2	chr1	1434861	1442882	+
HGNC:32151	ENSG00000215915.10	ATAD3C	ENST00000378785.7	chr1	1449689	1470163	+
HGNC:24007	ENSG00000160072.20	ATAD3B	ENST00000673477.1	chr1	1471765	1497848	+
HGNC:25567	ENSG00000197785.14	ATAD3A	ENST00000378756.8	chr1	1512162	1534685	+
HGNC:25186	ENSG00000205090.9	TMEM240	ENST00000378733.9	chr1	1534778	1540624	-
HGNC:25016	ENSG00000160075.12	SSU72	ENST00000291386.4	chr1	1541673	1574863	-
HGNC:42951	ENSG00000228594.4	FNDC10	ENST00000422725.4	chr1	1598012	1600135	-
HGNC:30577	ENSG00000197530.13	MIB2	ENST00000355826.10	chr1	1615454	1630605	+
HGNC:7171	ENSG00000189409.14	MMP23B	ENST00000356026.10	chr1	1632163	1635263	+
HGNC:1729	ENSG00000248333.9	CDK11B	ENST00000341832.11	chr1	1635225	1659012	-
HGNC:33941	ENSG00000189339.12	SLC35E2B	ENST00000617444.5	chr1	1659529	1692795	-
HGNC:7170	ENSG00000215914.4	MMP23A		chr1	1699942	1701782	+
HGNC:1730	ENSG00000008128.23	CDK11A	ENST00000404249.8	chr1	1702379	1724357	-
HGNC:20863	ENSG00000215790.8	SLC35E2A		chr1	1724838	1745992	-
HGNC:29831	ENSG00000008130.15	NADK	ENST00000341426.9	chr1	1751232	1780457	-
HGNC:4396	ENSG00000078369.18	GNB1	ENST00000378609.9	chr1	1785285	1891117	-
HGNC:24193	ENSG00000169885.10	CALML6	ENST00000307786.8	chr1	1915108	1917296	+
HGNC:27916	ENSG00000178821.13	TMEM52	ENST00000310991.8	chr1	1917590	1919279	-
HGNC:29368	ENSG00000142609.20	CFAP74	ENST00000682832.2	chr1	1921951	2003837	-
HGNC:4084	ENSG00000187730.9	GABRD	ENST00000378585.7	chr1	2019329	2030758	+
HGNC:9412	ENSG00000067606.17	PRKCZ	ENST00000378567.8	chr1	2050411	2185395	+
HGNC:40477	ENSG00000182873.5	PRKCZ-AS1		chr1	2181794	2184389	-
HGNC:26428	ENSG00000162585.17	FAAP20	ENST00000378546.9	chr1	2184461	2212720	-
HGNC:10896	ENSG00000157933.10	SKI	ENST00000378536.5	chr1	2228319	2310213	+
HGNC:25852	ENSG00000116151.14	MORN1	ENST00000378531.8	chr1	2321253	2391707	-
HGNC:30309	ENSG00000157916.20	RER1	ENST00000605895.6	chr1	2391775	2405442	+
HGNC:8851	ENSG00000157911.11	PEX10	ENST00000447513.7	chr1	2403964	2413797	-
HGNC:29037	ENSG00000149527.18	PLCH2	ENST00000378486.8	chr1	2425980	2505532	+
HGNC:19366	ENSG00000157881.16	PANK4	ENST00000378466.9	chr1	2508537	2526597	-
HGNC:19764	ENSG00000197921.6	HES5	ENST00000378453.4	chr1	2528745	2530263	-
HGNC:26966	ENSG00000238164.6	TNFRSF14-AS1		chr1	2549920	2557031	-
HGNC:11912	ENSG00000157873.18	TNFRSF14	ENST00000355716.5	chr1	2555639	2565382	+
HGNC:28390	ENSG00000157870.17	PRXL2B	ENST00000419916.8	chr1	2586491	2591469	+
HGNC:14668	ENSG00000142606.16	MMEL1	ENST00000378412.8	chr1	2590639	2633016	-
HGNC:40695	ENSG00000237058.1	MMEL1-AS1		chr1	2632568	2636620	+
HGNC:34297	ENSG00000215912.12	TTC34	ENST00000401095.8	chr1	2635976	2801717	-
HGNC:24026	ENSG00000169717.7	ACTRT2	ENST00000378404.4	chr1	3021467	3022903	+
HGNC:48664	ENSG00000177133.13	PRDM16-DT		chr1	3059611	3069088	-
HGNC:14000	ENSG00000142611.17	PRDM16	ENST00000270722.10	chr1	3069168	3438621	+
HGNC:38370	ENSG00000283572.1	MIR4251		chr1	3127975	3128035	+
HGNC:15515	ENSG00000130762.15	ARHGEF16	ENST00000378378.9	chr1	3454665	3481113	+
HGNC:3232	ENSG00000162591.16	MEGF6	ENST00000356575.9	chr1	3487951	3611508	-
HGNC:32806	ENSG00000207776.1	MIR551A		chr1	3560695	3560790	-
HGNC:27007	ENSG00000158109.15	TPRG1L	ENST00000378344.7	chr1	3625015	3630127	+
HGNC:12759	ENSG00000116213.16	WRAP73	ENST00000270708.12	chr1	3630767	3652761	-
HGNC:12003	ENSG00000078900.15	TP73	ENST00000378295.9	chr1	3652516	3736201	+
HGNC:40590	ENSG00000227589.1	TP73-AS3		chr1	3658938	3668772	-
HGNC:40591	ENSG00000235131.1	TP73-AS2		chr1	3712200	3714298	-
HGNC:29052	ENSG00000227372.12	TP73-AS1		chr1	3735511	3747373	-
HGNC:26546	ENSG00000162592.10	CCDC27	ENST00000294600.7	chr1	3746460	3771645	+
HGNC:44204	ENSG00000235169.11	SMIM1	ENST00000642557.4	chr1	3772749	3775982	+
HGNC:29207	ENSG00000130764.10	LRRC47	ENST00000378251.3	chr1	3778559	3796498	-
